epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00808, 0.99740, 0.27633, 0.00000, 1,
  1, 0.04211, 0.98961, 0.98100, 0.00000, 1,
  2, 0.03085, 0.99239, 0.06000, 0.14286, 0,
  3, 0.01824, 0.99517, 0.83567, 0.02041, 0,
  4, 0.01856, 0.99629, 0.94167, 0.02041, 0,
  5, 0.03149, 0.99091, 0.67500, 0.00000, 0,
  6, 0.01271, 0.99573, 0.94533, 0.02041, 0,
  7, 0.02259, 0.99369, 0.98200, 0.02041, 1,
  8, 0.00919, 0.99740, 0.98300, 0.00000, 1,
  9, 0.01725, 0.99647, 0.98233, 0.02041, 0,
 10, 0.01440, 0.99592, 0.96933, 0.02041, 0,
 11, 0.00853, 0.99722, 0.96933, 0.02041, 0,
 12, 0.00687, 0.99833, 0.98200, 0.02041, 0,
 13, 0.01218, 0.99722, 0.98800, 0.02041, 1,
 14, 0.01218, 0.99647, 0.98800, 0.02041, 0,
 15, 0.00592, 0.99870, 0.97667, 0.02041, 0,
 16, 0.01023, 0.99647, 0.97967, 0.02041, 0,
 17, 0.00994, 0.99777, 0.93167, 0.02041, 0,
 18, 0.00500, 0.99870, 0.97833, 0.02041, 0,
 19, 0.00488, 0.99852, 0.98133, 0.02041, 0,
 20, 0.00420, 0.99833, 0.98633, 0.02041, 0,
 21, 0.00539, 0.99870, 0.97500, 0.02041, 0,
 22, 0.00427, 0.99870, 0.98800, 0.00000, 0,
 23, 0.00765, 0.99777, 0.98367, 0.02041, 0,
 24, 0.00242, 0.99926, 0.98533, 0.02041, 0,
 25, 0.00485, 0.99833, 0.19900, 0.00000, 0,
 26, 0.00399, 0.99889, 0.98367, 0.02041, 0,
 27, 0.00267, 0.99889, 0.98233, 0.00000, 0,
 28, 0.00305, 0.99907, 0.96733, 0.02041, 0,
 29, 0.00317, 0.99944, 0.97667, 0.02041, 0,
 30, 0.00420, 0.99870, 0.20000, 1.00000, 0,
 31, 0.00338, 0.99889, 0.98100, 0.02041, 0,
 32, 0.00215, 0.99907, 0.20000, 1.00000, 0,
 33, 0.00384, 0.99889, 0.97267, 0.02041, 0,
 34, 0.00347, 0.99889, 0.98333, 0.02041, 0,
 35, 0.00276, 0.99926, 0.97400, 0.02041, 0,
 36, 0.00298, 0.99907, 0.97000, 0.02041, 0,
 37, 0.00250, 0.99926, 0.96300, 0.02041, 0,
 38, 0.00321, 0.99944, 0.97267, 0.02041, 0,
 39, 0.00343, 0.99907, 0.96433, 0.02041, 0,
 40, 0.00270, 0.99907, 0.94967, 0.02041, 0,
 41, 0.00214, 0.99944, 0.97767, 0.02041, 0,
 42, 0.00175, 0.99944, 0.97533, 0.02041, 0,
 43, 0.00130, 0.99963, 0.96967, 0.02041, 0,
 44, 0.00220, 0.99926, 0.97067, 0.02041, 0,
 45, 0.00204, 0.99907, 0.20000, 1.00000, 0,
 46, 0.00185, 0.99944, 0.97733, 0.02041, 0,
 47, 0.00282, 0.99889, 0.95367, 0.02041, 0,
 48, 0.00153, 0.99944, 0.98200, 0.02041, 0,
 49, 0.00174, 0.99944, 0.94033, 0.02041, 0,
