epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00547, 0.99814, 0.98167, 0.02041, 1,
  1, 0.07918, 0.97826, 0.90800, 0.02041, 0,
  2, 0.03482, 0.99127, 0.98400, 0.02041, 1,
  3, 0.02652, 0.99313, 0.97767, 0.00000, 0,
  4, 0.03619, 0.98978, 0.98400, 0.00000, 0,
  5, 0.01862, 0.99554, 0.96000, 0.00000, 0,
  6, 0.02539, 0.99331, 0.48600, 0.00000, 0,
  7, 0.01949, 0.99498, 0.34333, 0.26531, 0,
  8, 0.02163, 0.99480, 0.98267, 0.00000, 0,
  9, 0.01169, 0.99647, 0.20400, 0.00000, 0,
 10, 0.02154, 0.99331, 0.20300, 0.00000, 0,
 11, 0.00892, 0.99796, 0.19900, 0.02041, 0,
 12, 0.01255, 0.99703, 0.20000, 1.00000, 0,
 13, 0.01251, 0.99666, 0.97500, 0.02041, 0,
 14, 0.01233, 0.99666, 0.98400, 0.02041, 0,
 15, 0.01559, 0.99666, 0.98367, 0.00000, 0,
 16, 0.00645, 0.99833, 0.98433, 0.02041, 1,
 17, 0.00623, 0.99796, 0.94833, 0.02041, 0,
 18, 0.00935, 0.99814, 0.98600, 0.02041, 1,
 19, 0.00801, 0.99796, 0.98633, 0.00000, 1,
 20, 0.00803, 0.99870, 0.98167, 0.02041, 0,
 21, 0.00739, 0.99851, 0.97767, 0.02041, 0,
 22, 0.00923, 0.99833, 0.98333, 0.02041, 0,
 23, 0.00681, 0.99814, 0.97967, 0.02041, 0,
 24, 0.00554, 0.99851, 0.98200, 0.02041, 0,
 25, 0.00785, 0.99777, 0.97233, 0.02041, 0,
 26, 0.00554, 0.99889, 0.20000, 1.00000, 0,
 27, 0.00529, 0.99814, 0.20000, 1.00000, 0,
 28, 0.00698, 0.99814, 0.98100, 0.02041, 0,
 29, 0.00524, 0.99870, 0.98300, 0.02041, 0,
 30, 0.00502, 0.99814, 0.98467, 0.02041, 0,
 31, 0.00362, 0.99870, 0.98500, 0.02041, 0,
 32, 0.00354, 0.99833, 0.98467, 0.02041, 0,
 33, 0.00317, 0.99889, 0.98600, 0.02041, 0,
 34, 0.00286, 0.99907, 0.98500, 0.02041, 0,
 35, 0.00351, 0.99926, 0.20000, 1.00000, 0,
 36, 0.00348, 0.99907, 0.98333, 0.02041, 0,
 37, 0.00196, 0.99926, 0.98067, 0.02041, 0,
 38, 0.00349, 0.99926, 0.98233, 0.02041, 0,
 39, 0.00275, 0.99870, 0.98300, 0.02041, 0,
 40, 0.00188, 0.99926, 0.97667, 0.02041, 0,
 41, 0.00265, 0.99963, 0.98400, 0.02041, 0,
 42, 0.00199, 0.99944, 0.97700, 0.02041, 0,
 43, 0.00207, 0.99963, 0.97067, 0.02041, 0,
 44, 0.00202, 0.99944, 0.97567, 0.02041, 0,
 45, 0.00314, 0.99907, 0.98167, 0.02041, 0,
 46, 0.00219, 0.99907, 0.97500, 0.02041, 0,
 47, 0.00191, 0.99926, 0.98000, 0.02041, 0,
 48, 0.00166, 0.99963, 0.97700, 0.02041, 0,
 49, 0.00160, 0.99926, 0.98167, 0.02041, 0,
