epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.01617, 0.99516, 0.93067, 0.02041, 1,
  1, 0.12106, 0.96070, 0.92000, 0.00000, 0,
  2, 0.08213, 0.97653, 0.97667, 0.00000, 1,
  3, 0.06842, 0.97858, 0.96233, 0.00000, 0,
  4, 0.06431, 0.98249, 0.98200, 0.00000, 1,
  5, 0.05922, 0.98193, 0.31933, 0.00000, 0,
  6, 0.05590, 0.98361, 0.93033, 0.02041, 0,
  7, 0.04825, 0.98659, 0.89333, 0.02041, 0,
  8, 0.04019, 0.98603, 0.84567, 0.02041, 0,
  9, 0.03336, 0.98938, 0.96467, 0.00000, 0,
 10, 0.02880, 0.99087, 0.96700, 0.02041, 0,
 11, 0.02921, 0.99069, 0.96467, 0.02041, 0,
 12, 0.02998, 0.99125, 0.83800, 0.00000, 0,
 13, 0.02477, 0.99236, 0.95767, 0.00000, 0,
 14, 0.02210, 0.99367, 0.96500, 0.02041, 0,
 15, 0.02611, 0.99180, 0.98067, 0.02041, 0,
 16, 0.01610, 0.99553, 0.96067, 0.02041, 0,
 17, 0.01489, 0.99590, 0.97067, 0.02041, 0,
 18, 0.01574, 0.99646, 0.46300, 0.00000, 0,
 19, 0.01278, 0.99627, 0.97033, 0.02041, 0,
 20, 0.01622, 0.99534, 0.95433, 0.02041, 0,
 21, 0.01103, 0.99702, 0.20000, 0.00000, 0,
 22, 0.00517, 0.99870, 0.97333, 0.02041, 0,
 23, 0.01292, 0.99683, 0.98233, 0.02041, 1,
 24, 0.00946, 0.99702, 0.97667, 0.02041, 0,
 25, 0.00696, 0.99888, 0.97833, 0.02041, 0,
 26, 0.01031, 0.99702, 0.97333, 0.00000, 0,
 27, 0.00591, 0.99814, 0.97333, 0.02041, 0,
 28, 0.00831, 0.99795, 0.20000, 0.00000, 0,
 29, 0.00577, 0.99814, 0.98133, 0.02041, 0,
 30, 0.00477, 0.99926, 0.98133, 0.02041, 0,
 31, 0.00469, 0.99907, 0.97233, 0.02041, 0,
 32, 0.00427, 0.99926, 0.97300, 0.02041, 0,
 33, 0.00514, 0.99870, 0.97533, 0.02041, 0,
 34, 0.00354, 0.99907, 0.97500, 0.02041, 0,
 35, 0.00310, 0.99926, 0.97133, 0.02041, 0,
 36, 0.00543, 0.99870, 0.96367, 0.02041, 0,
 37, 0.00731, 0.99758, 0.97267, 0.02041, 0,
 38, 0.00329, 0.99926, 0.97733, 0.02041, 0,
 39, 0.00419, 0.99851, 0.34000, 0.00000, 0,
 40, 0.00325, 0.99907, 0.97800, 0.02041, 0,
 41, 0.00331, 0.99926, 0.98100, 0.02041, 0,
 42, 0.00380, 0.99907, 0.98000, 0.02041, 0,
 43, 0.00291, 0.99944, 0.97833, 0.02041, 0,
 44, 0.00296, 0.99888, 0.97933, 0.02041, 0,
 45, 0.00530, 0.99888, 0.97900, 0.02041, 0,
 46, 0.00240, 0.99963, 0.97700, 0.02041, 0,
 47, 0.00399, 0.99888, 0.98000, 0.02041, 0,
 48, 0.00296, 0.99907, 0.97900, 0.02041, 0,
 49, 0.00554, 0.99870, 0.97333, 0.02041, 0,
