epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.01679, 0.99534, 0.96900, 0.02041, 1,
  1, 0.23990, 0.92027, 0.61667, 0.02041, 0,
  2, 0.13825, 0.95529, 0.97333, 0.02041, 1,
  3, 0.13227, 0.95306, 0.95033, 0.00000, 0,
  4, 0.10615, 0.96665, 0.91667, 0.00000, 0,
  5, 0.09237, 0.97280, 0.97767, 0.02041, 1,
  6, 0.08023, 0.97466, 0.94500, 0.02041, 0,
  7, 0.09128, 0.97224, 0.95800, 0.02041, 0,
  8, 0.07617, 0.97578, 0.92200, 0.02041, 0,
  9, 0.05503, 0.98342, 0.29467, 0.00000, 0,
 10, 0.06577, 0.98044, 0.87767, 0.02041, 0,
 11, 0.05183, 0.98379, 0.95400, 0.00000, 0,
 12, 0.04535, 0.98752, 0.94867, 0.00000, 0,
 13, 0.04169, 0.98659, 0.97533, 0.02041, 0,
 14, 0.04321, 0.98621, 0.97900, 0.00000, 1,
 15, 0.03370, 0.99013, 0.97667, 0.02041, 0,
 16, 0.02707, 0.99236, 0.84767, 0.02041, 0,
 17, 0.03017, 0.99143, 0.97933, 0.02041, 1,
 18, 0.02860, 0.99218, 0.98233, 0.00000, 1,
 19, 0.01735, 0.99572, 0.98267, 0.02041, 1,
 20, 0.02235, 0.99329, 0.97833, 0.00000, 0,
 21, 0.01611, 0.99590, 0.97367, 0.02041, 0,
 22, 0.01900, 0.99423, 0.96433, 0.02041, 0,
 23, 0.01327, 0.99683, 0.71033, 0.00000, 0,
 24, 0.01383, 0.99702, 0.98333, 0.00000, 1,
 25, 0.01152, 0.99739, 0.97333, 0.02041, 0,
 26, 0.01362, 0.99739, 0.97200, 0.02041, 0,
 27, 0.01276, 0.99646, 0.95300, 0.02041, 0,
 28, 0.01023, 0.99721, 0.96600, 0.02041, 0,
 29, 0.01069, 0.99683, 0.93800, 0.02041, 0,
 30, 0.01151, 0.99758, 0.97867, 0.02041, 0,
 31, 0.00699, 0.99832, 0.97967, 0.02041, 0,
 32, 0.00729, 0.99795, 0.97500, 0.00000, 0,
 33, 0.00607, 0.99870, 0.97200, 0.02041, 0,
 34, 0.00524, 0.99944, 0.97667, 0.02041, 0,
 35, 0.00747, 0.99814, 0.96467, 0.02041, 0,
 36, 0.00498, 0.99888, 0.97633, 0.02041, 0,
 37, 0.00733, 0.99795, 0.97533, 0.02041, 0,
 38, 0.00589, 0.99832, 0.97067, 0.02041, 0,
 39, 0.00529, 0.99851, 0.98033, 0.02041, 0,
 40, 0.00588, 0.99888, 0.97200, 0.02041, 0,
 41, 0.00598, 0.99851, 0.97333, 0.02041, 0,
 42, 0.00344, 0.99925, 0.59633, 0.00000, 0,
 43, 0.00485, 0.99925, 0.96967, 0.02041, 0,
 44, 0.00689, 0.99832, 0.97667, 0.02041, 0,
 45, 0.00334, 0.99907, 0.96933, 0.02041, 0,
 46, 0.00405, 0.99925, 0.97067, 0.02041, 0,
 47, 0.00417, 0.99870, 0.96633, 0.02041, 0,
 48, 0.00400, 0.99907, 0.97467, 0.02041, 0,
 49, 0.00595, 0.99870, 0.95400, 0.02041, 0,
