epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.01132, 0.99740, 0.97300, 0.02041, 1,
  1, 0.05569, 0.98589, 0.98067, 0.02041, 1,
  2, 0.02951, 0.99127, 0.41033, 0.00000, 0,
  3, 0.02674, 0.99220, 0.94167, 0.00000, 0,
  4, 0.02890, 0.99294, 0.97567, 0.02041, 0,
  5, 0.02442, 0.99406, 0.98500, 0.00000, 1,
  6, 0.02464, 0.99350, 0.98033, 0.02041, 0,
  7, 0.01402, 0.99573, 0.98000, 0.02041, 0,
  8, 0.01607, 0.99647, 0.98433, 0.00000, 0,
  9, 0.01548, 0.99591, 0.97567, 0.02041, 0,
 10, 0.01287, 0.99721, 0.84767, 0.02041, 0,
 11, 0.01821, 0.99480, 0.98200, 0.02041, 0,
 12, 0.01027, 0.99684, 0.97167, 0.02041, 0,
 13, 0.00889, 0.99796, 0.98600, 0.00000, 1,
 14, 0.00546, 0.99851, 0.98633, 0.00000, 1,
 15, 0.01157, 0.99684, 0.98267, 0.02041, 0,
 16, 0.01154, 0.99647, 0.20000, 1.00000, 0,
 17, 0.00440, 0.99851, 0.98367, 0.00000, 0,
 18, 0.00844, 0.99740, 0.98333, 0.02041, 0,
 19, 0.00610, 0.99833, 0.29267, 0.00000, 0,
 20, 0.00466, 0.99889, 0.97700, 0.02041, 0,
 21, 0.00444, 0.99926, 0.98400, 0.00000, 0,
 22, 0.00761, 0.99796, 0.98433, 0.00000, 0,
 23, 0.00448, 0.99889, 0.98500, 0.02041, 0,
 24, 0.00385, 0.99907, 0.98433, 0.00000, 0,
 25, 0.00423, 0.99870, 0.98433, 0.02041, 0,
 26, 0.00505, 0.99870, 0.98667, 0.02041, 1,
 27, 0.00540, 0.99851, 0.98433, 0.02041, 0,
 28, 0.00468, 0.99833, 0.98567, 0.02041, 0,
 29, 0.00367, 0.99889, 0.98400, 0.02041, 0,
 30, 0.00353, 0.99889, 0.98133, 0.02041, 0,
 31, 0.00231, 0.99944, 0.98167, 0.02041, 0,
 32, 0.00270, 0.99926, 0.98300, 0.02041, 0,
 33, 0.00398, 0.99851, 0.98433, 0.02041, 0,
 34, 0.00287, 0.99944, 0.98433, 0.02041, 0,
 35, 0.00214, 0.99963, 0.98100, 0.02041, 0,
 36, 0.00172, 0.99926, 0.98133, 0.02041, 0,
 37, 0.00204, 0.99944, 0.97000, 0.02041, 0,
 38, 0.00412, 0.99889, 0.98200, 0.02041, 0,
 39, 0.00199, 0.99944, 0.98400, 0.02041, 0,
 40, 0.00233, 0.99907, 0.98000, 0.02041, 0,
 41, 0.00249, 0.99907, 0.98100, 0.02041, 0,
 42, 0.00243, 0.99907, 0.98400, 0.02041, 0,
 43, 0.00174, 0.99944, 0.20000, 1.00000, 0,
 44, 0.00214, 0.99944, 0.98267, 0.02041, 0,
 45, 0.00222, 0.99926, 0.97867, 0.02041, 0,
 46, 0.00251, 0.99907, 0.98067, 0.02041, 0,
 47, 0.00144, 0.99963, 0.97633, 0.02041, 0,
 48, 0.00189, 0.99944, 0.97667, 0.02041, 0,
 49, 0.00154, 0.99944, 0.97933, 0.02041, 0,
