epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.01010, 0.99721, 0.94900, 0.02041, 1,
  1, 0.09238, 0.97283, 0.97667, 0.00000, 1,
  2, 0.05433, 0.98381, 0.20000, 0.00000, 0,
  3, 0.03130, 0.99200, 0.97733, 0.02041, 1,
  4, 0.03619, 0.98921, 0.95633, 0.02041, 0,
  5, 0.02130, 0.99349, 0.98300, 0.02041, 1,
  6, 0.03409, 0.99088, 0.98067, 0.02041, 0,
  7, 0.02971, 0.99088, 0.97833, 0.02041, 0,
  8, 0.03102, 0.99200, 0.97733, 0.02041, 0,
  9, 0.02143, 0.99442, 0.95300, 0.02041, 0,
 10, 0.01006, 0.99777, 0.98467, 0.02041, 1,
 11, 0.02285, 0.99311, 0.98467, 0.02041, 0,
 12, 0.01306, 0.99628, 0.95300, 0.02041, 0,
 13, 0.01989, 0.99497, 0.93100, 0.00000, 0,
 14, 0.01120, 0.99702, 0.97333, 0.02041, 0,
 15, 0.01557, 0.99553, 0.95233, 0.02041, 0,
 16, 0.00681, 0.99870, 0.97267, 0.02041, 0,
 17, 0.00725, 0.99814, 0.97533, 0.02041, 0,
 18, 0.00823, 0.99777, 0.98433, 0.02041, 0,
 19, 0.01061, 0.99721, 0.39267, 0.00000, 0,
 20, 0.00671, 0.99832, 0.95100, 0.00000, 0,
 21, 0.01285, 0.99739, 0.37800, 0.00000, 0,
 22, 0.00608, 0.99888, 0.98100, 0.02041, 0,
 23, 0.00663, 0.99777, 0.97667, 0.02041, 0,
 24, 0.00503, 0.99888, 0.97267, 0.02041, 0,
 25, 0.00606, 0.99851, 0.97500, 0.02041, 0,
 26, 0.00570, 0.99870, 0.97533, 0.02041, 0,
 27, 0.00591, 0.99814, 0.97900, 0.02041, 0,
 28, 0.00583, 0.99870, 0.97800, 0.02041, 0,
 29, 0.00490, 0.99851, 0.98667, 0.00000, 1,
 30, 0.00443, 0.99870, 0.97700, 0.02041, 0,
 31, 0.00435, 0.99870, 0.98300, 0.02041, 0,
 32, 0.00371, 0.99944, 0.97667, 0.02041, 0,
 33, 0.00539, 0.99851, 0.20000, 0.00000, 0,
 34, 0.00402, 0.99907, 0.97500, 0.02041, 0,
 35, 0.00348, 0.99870, 0.97800, 0.02041, 0,
 36, 0.00337, 0.99907, 0.97600, 0.02041, 0,
 37, 0.00421, 0.99888, 0.97933, 0.02041, 0,
 38, 0.00383, 0.99888, 0.97233, 0.02041, 0,
 39, 0.00401, 0.99870, 0.97933, 0.02041, 0,
 40, 0.00319, 0.99907, 0.97700, 0.02041, 0,
 41, 0.00291, 0.99907, 0.97900, 0.02041, 0,
 42, 0.00428, 0.99888, 0.20000, 0.00000, 0,
 43, 0.00320, 0.99963, 0.23200, 0.00000, 0,
 44, 0.00349, 0.99907, 0.98000, 0.02041, 0,
 45, 0.00348, 0.99907, 0.97800, 0.02041, 0,
 46, 0.00305, 0.99907, 0.98033, 0.02041, 0,
 47, 0.00299, 0.99907, 0.97733, 0.02041, 0,
 48, 0.00291, 0.99907, 0.97167, 0.02041, 0,
 49, 0.00245, 0.99907, 0.97667, 0.02041, 0,
