epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.00582, 0.99833, 0.96967, 0.02041, 1,
  1, 0.03817, 0.98941, 0.97900, 0.00000, 1,
  2, 0.04119, 0.99034, 0.64733, 0.00000, 0,
  3, 0.02623, 0.99294, 0.35567, 0.00000, 0,
  4, 0.02540, 0.99406, 0.90133, 0.00000, 0,
  5, 0.02100, 0.99499, 0.98400, 0.02041, 1,
  6, 0.01878, 0.99517, 0.94367, 0.02041, 0,
  7, 0.02627, 0.99257, 0.98433, 0.02041, 1,
  8, 0.01029, 0.99703, 0.97433, 0.00000, 0,
  9, 0.01234, 0.99721, 0.20000, 0.00000, 0,
 10, 0.01435, 0.99647, 0.98133, 0.02041, 0,
 11, 0.01010, 0.99777, 0.98433, 0.00000, 0,
 12, 0.01013, 0.99740, 0.98233, 0.00000, 0,
 13, 0.01159, 0.99740, 0.98067, 0.00000, 0,
 14, 0.00944, 0.99759, 0.22767, 0.00000, 0,
 15, 0.00817, 0.99721, 0.98433, 0.00000, 0,
 16, 0.00708, 0.99796, 0.91333, 0.00000, 0,
 17, 0.00664, 0.99814, 0.92833, 0.00000, 0,
 18, 0.00860, 0.99759, 0.20000, 0.00000, 0,
 19, 0.00606, 0.99870, 0.96433, 0.00000, 0,
 20, 0.00795, 0.99740, 0.21767, 0.00000, 0,
 21, 0.00279, 0.99926, 0.98467, 0.00000, 1,
 22, 0.00615, 0.99814, 0.98600, 0.00000, 1,
 23, 0.00439, 0.99907, 0.98600, 0.00000, 0,
 24, 0.00379, 0.99870, 0.98500, 0.02041, 0,
 25, 0.00482, 0.99889, 0.98367, 0.02041, 0,
 26, 0.00534, 0.99796, 0.97833, 0.02041, 0,
 27, 0.00455, 0.99926, 0.98100, 0.00000, 0,
 28, 0.00386, 0.99889, 0.98100, 0.00000, 0,
 29, 0.00374, 0.99889, 0.20000, 1.00000, 0,
 30, 0.00310, 0.99926, 0.98200, 0.02041, 0,
 31, 0.00299, 0.99926, 0.98133, 0.02041, 0,
 32, 0.00301, 0.99944, 0.98333, 0.00000, 0,
 33, 0.00208, 0.99944, 0.98300, 0.00000, 0,
 34, 0.00200, 0.99963, 0.98267, 0.02041, 0,
 35, 0.00308, 0.99907, 0.98367, 0.02041, 0,
 36, 0.00442, 0.99889, 0.98367, 0.00000, 0,
 37, 0.00365, 0.99889, 0.98567, 0.00000, 0,
 38, 0.00226, 0.99907, 0.98467, 0.00000, 0,
 39, 0.00171, 0.99963, 0.98300, 0.00000, 0,
 40, 0.00235, 0.99926, 0.98433, 0.00000, 0,
 41, 0.00216, 0.99926, 0.98333, 0.00000, 0,
 42, 0.00217, 0.99963, 0.98300, 0.02041, 0,
 43, 0.00188, 0.99926, 0.98567, 0.00000, 0,
 44, 0.00238, 0.99944, 0.98167, 0.02041, 0,
 45, 0.00292, 0.99889, 0.98500, 0.00000, 0,
 46, 0.00202, 0.99944, 0.98200, 0.00000, 0,
 47, 0.00219, 0.99926, 0.97767, 0.02041, 0,
 48, 0.00192, 0.99926, 0.98367, 0.00000, 0,
 49, 0.00227, 0.99926, 0.98267, 0.00000, 0,
