epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.00327, 0.99888, 0.98733, 0.00000, 1,
  1, 0.08334, 0.97415, 0.23433, 0.00000, 0,
  2, 0.04076, 0.98829, 0.97933, 0.00000, 0,
  3, 0.03395, 0.98959, 0.92233, 0.02041, 0,
  4, 0.02135, 0.99312, 0.96700, 0.00000, 0,
  5, 0.02056, 0.99424, 0.97833, 0.02041, 0,
  6, 0.01879, 0.99386, 0.97967, 0.02041, 0,
  7, 0.01432, 0.99591, 0.94167, 0.02041, 0,
  8, 0.02182, 0.99442, 0.97567, 0.00000, 0,
  9, 0.01448, 0.99591, 0.98200, 0.02041, 0,
 10, 0.02171, 0.99386, 0.97300, 0.02041, 0,
 11, 0.01420, 0.99610, 0.98300, 0.00000, 0,
 12, 0.01129, 0.99702, 0.98300, 0.02041, 0,
 13, 0.00693, 0.99833, 0.98000, 0.02041, 0,
 14, 0.01092, 0.99758, 0.98133, 0.00000, 0,
 15, 0.01125, 0.99777, 0.97700, 0.02041, 0,
 16, 0.00886, 0.99777, 0.97833, 0.02041, 0,
 17, 0.00470, 0.99888, 0.98167, 0.02041, 0,
 18, 0.00540, 0.99907, 0.97600, 0.02041, 0,
 19, 0.00956, 0.99721, 0.29200, 0.00000, 0,
 20, 0.00594, 0.99851, 0.97233, 0.02041, 0,
 21, 0.00856, 0.99740, 0.97300, 0.02041, 0,
 22, 0.00550, 0.99833, 0.97767, 0.02041, 0,
 23, 0.00515, 0.99851, 0.98467, 0.02041, 0,
 24, 0.00446, 0.99907, 0.98567, 0.00000, 0,
 25, 0.00503, 0.99851, 0.98433, 0.02041, 0,
 26, 0.00473, 0.99907, 0.23300, 0.00000, 0,
 27, 0.00490, 0.99907, 0.98400, 0.02041, 0,
 28, 0.00530, 0.99870, 0.97867, 0.02041, 0,
 29, 0.00499, 0.99851, 0.98133, 0.02041, 0,
 30, 0.00603, 0.99833, 0.98300, 0.02041, 0,
 31, 0.00509, 0.99851, 0.98433, 0.02041, 0,
 32, 0.00364, 0.99870, 0.98500, 0.02041, 0,
 33, 0.00350, 0.99907, 0.98433, 0.02041, 0,
 34, 0.00287, 0.99907, 0.98033, 0.02041, 0,
 35, 0.00442, 0.99888, 0.97867, 0.02041, 0,
 36, 0.00382, 0.99907, 0.25300, 0.00000, 0,
 37, 0.00313, 0.99944, 0.98300, 0.02041, 0,
 38, 0.00363, 0.99870, 0.98000, 0.02041, 0,
 39, 0.00350, 0.99907, 0.98300, 0.02041, 0,
 40, 0.00345, 0.99888, 0.98433, 0.02041, 0,
 41, 0.00294, 0.99944, 0.97733, 0.02041, 0,
 42, 0.00291, 0.99888, 0.97933, 0.02041, 0,
 43, 0.00328, 0.99944, 0.98067, 0.02041, 0,
 44, 0.00322, 0.99907, 0.98067, 0.02041, 0,
 45, 0.00384, 0.99851, 0.98000, 0.02041, 0,
 46, 0.00221, 0.99963, 0.98267, 0.02041, 0,
 47, 0.00199, 0.99963, 0.26133, 0.00000, 0,
 48, 0.00210, 0.99907, 0.97300, 0.02041, 0,
 49, 0.00204, 0.99926, 0.98667, 0.02041, 0,
