epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00520, 0.99851, 0.98433, 0.02041, 1,
  1, 0.05352, 0.98478, 0.98367, 0.02041, 0,
  2, 0.03050, 0.99109, 0.98133, 0.02041, 0,
  3, 0.02551, 0.99202, 0.88633, 0.02041, 0,
  4, 0.01690, 0.99554, 0.98400, 0.02041, 0,
  5, 0.02305, 0.99350, 0.92400, 0.02041, 0,
  6, 0.02375, 0.99387, 0.95733, 0.02041, 0,
  7, 0.02394, 0.99406, 0.97900, 0.02041, 0,
  8, 0.01064, 0.99759, 0.98333, 0.00000, 0,
  9, 0.01292, 0.99666, 0.98200, 0.02041, 0,
 10, 0.01613, 0.99573, 0.97967, 0.02041, 0,
 11, 0.01326, 0.99684, 0.97867, 0.02041, 0,
 12, 0.01572, 0.99629, 0.98467, 0.02041, 1,
 13, 0.00670, 0.99814, 0.98100, 0.02041, 0,
 14, 0.00938, 0.99740, 0.98500, 0.02041, 1,
 15, 0.00858, 0.99740, 0.98600, 0.02041, 1,
 16, 0.00905, 0.99777, 0.98000, 0.02041, 0,
 17, 0.00675, 0.99814, 0.98633, 0.02041, 1,
 18, 0.00445, 0.99889, 0.97500, 0.00000, 0,
 19, 0.00739, 0.99851, 0.98433, 0.02041, 0,
 20, 0.00574, 0.99851, 0.98533, 0.02041, 0,
 21, 0.00510, 0.99851, 0.98467, 0.02041, 0,
 22, 0.00544, 0.99833, 0.98367, 0.02041, 0,
 23, 0.00560, 0.99870, 0.98633, 0.02041, 0,
 24, 0.00570, 0.99870, 0.98633, 0.02041, 0,
 25, 0.00369, 0.99889, 0.98600, 0.02041, 0,
 26, 0.00349, 0.99889, 0.98367, 0.02041, 0,
 27, 0.00454, 0.99870, 0.93267, 0.02041, 0,
 28, 0.00376, 0.99870, 0.20000, 1.00000, 0,
 29, 0.00328, 0.99907, 0.98167, 0.02041, 0,
 30, 0.00362, 0.99870, 0.98067, 0.02041, 0,
 31, 0.00225, 0.99907, 0.98267, 0.02041, 0,
 32, 0.00410, 0.99907, 0.98433, 0.02041, 0,
 33, 0.00271, 0.99907, 0.97233, 0.02041, 0,
 34, 0.00382, 0.99889, 0.98100, 0.02041, 0,
 35, 0.00371, 0.99889, 0.98300, 0.02041, 0,
 36, 0.00271, 0.99944, 0.98300, 0.02041, 0,
 37, 0.00226, 0.99944, 0.98467, 0.02041, 0,
 38, 0.00256, 0.99944, 0.98200, 0.02041, 0,
 39, 0.00397, 0.99907, 0.98067, 0.02041, 0,
 40, 0.00204, 0.99907, 0.98367, 0.00000, 0,
 41, 0.00179, 0.99963, 0.98500, 0.02041, 0,
 42, 0.00205, 0.99926, 0.98233, 0.02041, 0,
 43, 0.00276, 0.99907, 0.98433, 0.02041, 0,
 44, 0.00253, 0.99926, 0.98067, 0.02041, 0,
 45, 0.00194, 0.99907, 0.98233, 0.02041, 0,
 46, 0.00204, 0.99926, 0.98233, 0.02041, 0,
 47, 0.00182, 0.99944, 0.98500, 0.02041, 0,
 48, 0.00197, 0.99926, 0.98467, 0.02041, 0,
 49, 0.00171, 0.99926, 0.98433, 0.02041, 0,
