epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.08574, 0.97157, 0.98300, 1, 1.00000, 1.00000, 0.99333, 0.95833, 0.96333,
  1, 0.16249, 0.94406, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.11360, 0.96326, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  3, 0.12929, 0.96437, 0.80767, 0, 1.00000, 1.00000, 0.98833, 0.77833, 0.27167,
  4, 0.10022, 0.97360, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  5, 0.07761, 0.97600, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  6, 0.05910, 0.98283, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  7, 0.07989, 0.97951, 0.97700, 0, 1.00000, 0.99333, 0.99833, 0.97167, 0.92167,
  8, 0.04131, 0.99059, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  9, 0.03022, 0.99335, 0.63567, 0, 0.86667, 0.30333, 0.45667, 0.55833, 0.99333,
 10, 0.03958, 0.98892, 0.97233, 0, 0.99833, 0.98833, 0.99833, 0.96667, 0.91000,
 11, 0.07971, 0.98228, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 12, 0.04943, 0.98708, 0.97300, 0, 1.00000, 1.00000, 0.99000, 0.95833, 0.91667,
 13, 0.03905, 0.99114, 0.94267, 0, 1.00000, 1.00000, 0.98667, 0.93000, 0.79667,
 14, 0.02956, 0.99354, 0.20333, 0, 0.00333, 0.00000, 0.00000, 0.01333, 1.00000,
 15, 0.02862, 0.99409, 0.96033, 0, 1.00000, 1.00000, 0.98833, 0.94167, 0.87167,
 16, 0.03492, 0.99114, 0.97600, 0, 0.99833, 0.99833, 0.99333, 0.96500, 0.92500,
 17, 0.01997, 0.99649, 0.98600, 1, 1.00000, 1.00000, 0.99833, 0.97333, 0.95833,
 18, 0.02532, 0.99575, 0.98700, 1, 0.99833, 1.00000, 0.99333, 0.97167, 0.97167,
 19, 0.01559, 0.99723, 0.97600, 0, 1.00000, 1.00000, 0.99500, 0.96833, 0.91667,
 20, 0.01831, 0.99686, 0.98833, 1, 1.00000, 1.00000, 0.99333, 0.97500, 0.97333,
 21, 0.02246, 0.99557, 0.98033, 0, 1.00000, 1.00000, 0.99167, 0.96333, 0.94667,
 22, 0.01717, 0.99705, 0.97433, 0, 1.00000, 1.00000, 0.99167, 0.96000, 0.92000,
 23, 0.01515, 0.99705, 0.97733, 0, 1.00000, 1.00000, 0.99167, 0.97000, 0.92500,
 24, 0.01380, 0.99723, 0.98300, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.95000,
 25, 0.01466, 0.99723, 0.20533, 0, 0.00000, 0.00000, 0.00000, 0.02667, 1.00000,
 26, 0.01444, 0.99686, 0.98333, 0, 1.00000, 1.00000, 0.99500, 0.96833, 0.95333,
 27, 0.01221, 0.99723, 0.96267, 0, 1.00000, 1.00000, 0.99167, 0.95333, 0.86833,
 28, 0.01156, 0.99723, 0.97900, 0, 1.00000, 1.00000, 0.99167, 0.95833, 0.94500,
 29, 0.01241, 0.99705, 0.96467, 0, 1.00000, 1.00000, 0.99333, 0.95667, 0.87333,
 30, 0.01195, 0.99723, 0.98733, 0, 1.00000, 1.00000, 0.99667, 0.96833, 0.97167,
 31, 0.01112, 0.99742, 0.97733, 0, 1.00000, 1.00000, 0.98833, 0.95667, 0.94167,
 32, 0.01077, 0.99760, 0.98233, 0, 0.99833, 0.99167, 0.99000, 0.97167, 0.96000,
 33, 0.00926, 0.99834, 0.97300, 0, 1.00000, 1.00000, 0.99333, 0.95667, 0.91500,
 34, 0.00830, 0.99852, 0.95967, 0, 1.00000, 1.00000, 0.98833, 0.94667, 0.86333,
 35, 0.00821, 0.99815, 0.98467, 0, 1.00000, 1.00000, 0.98500, 0.96500, 0.97333,
 36, 0.00760, 0.99908, 0.94567, 0, 1.00000, 1.00000, 0.99167, 0.93833, 0.79833,
 37, 0.00705, 0.99852, 0.97667, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.93000,
 38, 0.00671, 0.99889, 0.97433, 0, 1.00000, 1.00000, 0.99500, 0.96333, 0.91333,
 39, 0.00579, 0.99926, 0.98233, 0, 1.00000, 1.00000, 0.99333, 0.96667, 0.95167,
 40, 0.00577, 0.99908, 0.97667, 0, 1.00000, 1.00000, 0.99500, 0.96167, 0.92667,
 41, 0.00589, 0.99852, 0.98633, 0, 1.00000, 1.00000, 0.99667, 0.97167, 0.96333,
 42, 0.00651, 0.99871, 0.98433, 0, 1.00000, 1.00000, 0.99500, 0.96500, 0.96167,
 43, 0.00550, 0.99926, 0.98567, 0, 1.00000, 1.00000, 0.99667, 0.97000, 0.96167,
 44, 0.00457, 0.99908, 0.97700, 0, 1.00000, 1.00000, 0.99333, 0.95833, 0.93333,
 45, 0.00412, 0.99945, 0.20233, 0, 0.00000, 0.00000, 0.00000, 0.01167, 1.00000,
 46, 0.00390, 0.99945, 0.96200, 0, 1.00000, 1.00000, 0.99167, 0.95833, 0.86000,
 47, 0.00370, 0.99926, 0.98400, 0, 1.00000, 1.00000, 0.99333, 0.96167, 0.96500,
 48, 0.00347, 0.99908, 0.97967, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.94500,
 49, 0.00313, 0.99945, 0.98400, 0, 1.00000, 1.00000, 0.99667, 0.96000, 0.96333,
 50, 0.00282, 0.99982, 0.98367, 0, 1.00000, 1.00000, 0.99333, 0.96667, 0.95833,
 51, 0.00265, 0.99945, 0.96833, 0, 1.00000, 1.00000, 0.99000, 0.95000, 0.90167,
 52, 0.00225, 0.99963, 0.98100, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.95167,
 53, 0.00194, 1.00000, 0.97133, 0, 0.99833, 0.98667, 0.96667, 0.97500, 0.93000,
 54, 0.00177, 1.00000, 0.98133, 0, 1.00000, 1.00000, 0.99667, 0.96000, 0.95000,
 55, 0.00171, 1.00000, 0.97933, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.94333,
 56, 0.00161, 1.00000, 0.98200, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.95667,
 57, 0.00152, 1.00000, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 58, 0.00149, 1.00000, 0.98300, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.96167,
 59, 0.00139, 1.00000, 0.97733, 0, 1.00000, 1.00000, 0.99333, 0.96000, 0.93333,
