epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.05582, 0.98718, 0.98767, 1, 1.00000, 1.00000, 0.99167, 0.96000, 0.98667,
  1, 0.15041, 0.95140, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.08783, 0.97223, 0.37767, 0, 0.84833, 0.01333, 0.00833, 0.01833, 1.00000,
  3, 0.07451, 0.97739, 0.20800, 0, 0.00333, 0.00167, 0.01000, 0.02500, 1.00000,
  4, 0.05993, 0.98398, 0.50933, 0, 0.87500, 0.33167, 0.25167, 0.09000, 0.99833,
  5, 0.03335, 0.99021, 0.25367, 0, 0.06833, 0.09000, 0.03000, 0.08167, 0.99833,
  6, 0.01785, 0.99680, 0.98933, 1, 1.00000, 0.99833, 1.00000, 0.97333, 0.97500,
  7, 0.01059, 0.99875, 0.98300, 0, 1.00000, 1.00000, 0.99667, 0.97333, 0.94500,
  8, 0.00787, 0.99911, 0.97700, 0, 1.00000, 1.00000, 0.99667, 0.96833, 0.92000,
  9, 0.00680, 0.99911, 0.98167, 0, 1.00000, 1.00000, 0.99833, 0.97000, 0.94000,
 10, 0.00647, 0.99911, 0.98800, 0, 1.00000, 1.00000, 0.99833, 0.97833, 0.96333,
 11, 0.00651, 0.99911, 0.96567, 0, 1.00000, 1.00000, 0.99333, 0.96167, 0.87333,
 12, 0.00669, 0.99911, 0.98700, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.96333,
 13, 0.00697, 0.99911, 0.99000, 1, 1.00000, 1.00000, 1.00000, 0.97167, 0.97833,
 14, 0.00625, 0.99893, 0.98567, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.96333,
 15, 0.00588, 0.99911, 0.97500, 0, 1.00000, 1.00000, 0.99500, 0.96667, 0.91333,
 16, 0.00990, 0.99804, 0.98900, 0, 1.00000, 1.00000, 0.99833, 0.97000, 0.97667,
 17, 0.00589, 0.99911, 0.97367, 0, 1.00000, 1.00000, 0.99500, 0.96667, 0.90667,
 18, 0.00849, 0.99822, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 19, 0.01215, 0.99715, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 20, 0.00564, 0.99911, 0.98300, 0, 1.00000, 1.00000, 0.99667, 0.97167, 0.94667,
 21, 0.00503, 0.99911, 0.98933, 0, 1.00000, 1.00000, 0.99667, 0.97833, 0.97167,
 22, 0.00496, 0.99911, 0.97367, 0, 1.00000, 1.00000, 0.99667, 0.96833, 0.90333,
 23, 0.00415, 0.99911, 0.97433, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.90667,
 24, 0.00372, 0.99929, 0.98267, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.94833,
 25, 0.00385, 0.99929, 0.21467, 0, 0.00167, 0.00667, 0.01167, 0.05500, 0.99833,
 26, 0.00295, 0.99929, 0.98533, 0, 1.00000, 1.00000, 0.99667, 0.97167, 0.95833,
 27, 0.00253, 0.99929, 0.97967, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.93167,
 28, 0.00251, 0.99929, 0.97933, 0, 1.00000, 1.00000, 0.99500, 0.97500, 0.92667,
 29, 0.00267, 0.99929, 0.97633, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.91500,
 30, 0.00225, 0.99929, 0.72667, 0, 0.92833, 0.58833, 0.46667, 0.65333, 0.99667,
 31, 0.00260, 0.99929, 0.98567, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.96167,
 32, 0.00293, 0.99929, 0.98800, 0, 1.00000, 1.00000, 0.99833, 0.97667, 0.96500,
 33, 0.00209, 0.99929, 0.98533, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.96000,
 34, 0.00188, 0.99929, 0.98433, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.95500,
 35, 0.00210, 0.99929, 0.20533, 0, 0.00000, 0.00000, 0.00000, 0.02667, 1.00000,
 36, 0.00174, 0.99929, 0.98600, 0, 1.00000, 1.00000, 0.99500, 0.97333, 0.96167,
 37, 0.00190, 0.99929, 0.98200, 0, 1.00000, 1.00000, 0.99500, 0.97667, 0.93833,
 38, 0.00168, 0.99929, 0.98700, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.97000,
 39, 0.00152, 0.99947, 0.98500, 0, 1.00000, 1.00000, 0.99500, 0.97333, 0.95667,
 40, 0.00176, 0.99929, 0.98367, 0, 1.00000, 1.00000, 0.99500, 0.97333, 0.95000,
 41, 0.00149, 0.99964, 0.98633, 0, 1.00000, 1.00000, 0.99833, 0.97167, 0.96167,
 42, 0.00131, 0.99982, 0.98733, 0, 1.00000, 1.00000, 0.99667, 0.96833, 0.97167,
 43, 0.00123, 0.99982, 0.98267, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.94667,
 44, 0.00126, 0.99964, 0.96767, 0, 1.00000, 0.99833, 0.99167, 0.96000, 0.88833,
 45, 0.00129, 0.99947, 0.97167, 0, 1.00000, 1.00000, 0.99500, 0.96167, 0.90167,
 46, 0.00121, 0.99964, 0.98500, 0, 1.00000, 1.00000, 0.99667, 0.97167, 0.95667,
 47, 0.00111, 0.99982, 0.98800, 0, 1.00000, 1.00000, 0.99833, 0.97000, 0.97167,
 48, 0.00106, 0.99982, 0.97500, 0, 1.00000, 1.00000, 0.99500, 0.96833, 0.91167,
 49, 0.00100, 0.99982, 0.97500, 0, 1.00000, 1.00000, 0.99500, 0.96167, 0.91833,
 50, 0.00095, 0.99982, 0.97833, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.92500,
 51, 0.00093, 0.99982, 0.20567, 0, 0.00000, 0.00000, 0.00000, 0.02833, 1.00000,
 52, 0.00091, 0.99982, 0.97800, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.92333,
 53, 0.00090, 0.99982, 0.98833, 0, 1.00000, 1.00000, 0.99833, 0.97333, 0.97000,
 54, 0.00088, 0.99982, 0.98367, 0, 1.00000, 1.00000, 0.99667, 0.97167, 0.95000,
 55, 0.00086, 0.99982, 0.98167, 0, 1.00000, 1.00000, 0.99833, 0.97167, 0.93833,
 56, 0.00085, 0.99982, 0.98500, 0, 1.00000, 1.00000, 0.99500, 0.97333, 0.95667,
 57, 0.00082, 0.99982, 0.98367, 0, 1.00000, 1.00000, 0.99500, 0.97167, 0.95167,
 58, 0.00082, 0.99982, 0.98433, 0, 1.00000, 1.00000, 0.99667, 0.97333, 0.95167,
 59, 0.00081, 0.99982, 0.98400, 0, 1.00000, 1.00000, 0.99500, 0.97500, 0.95000,
