epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.01059, 0.99609, 0.97867, 0.00000, 1,
  1, 0.12063, 0.96425, 0.20000, 0.00000, 0,
  2, 0.06834, 0.97803, 0.97500, 0.00000, 0,
  3, 0.05957, 0.98287, 0.94200, 0.02041, 0,
  4, 0.04313, 0.98715, 0.98467, 0.02041, 1,
  5, 0.04947, 0.98603, 0.97467, 0.00000, 0,
  6, 0.02895, 0.99125, 0.97900, 0.00000, 0,
  7, 0.02348, 0.99330, 0.41100, 0.00000, 0,
  8, 0.04499, 0.98659, 0.98200, 0.02041, 0,
  9, 0.02484, 0.99311, 0.97733, 0.02041, 0,
 10, 0.02323, 0.99218, 0.37200, 0.00000, 0,
 11, 0.01934, 0.99460, 0.98667, 0.02041, 1,
 12, 0.02146, 0.99330, 0.97767, 0.02041, 0,
 13, 0.01764, 0.99479, 0.96567, 0.02041, 0,
 14, 0.01859, 0.99497, 0.27867, 0.00000, 0,
 15, 0.01215, 0.99721, 0.97333, 0.00000, 0,
 16, 0.02056, 0.99441, 0.97633, 0.02041, 0,
 17, 0.01091, 0.99665, 0.98633, 0.00000, 0,
 18, 0.00797, 0.99832, 0.98500, 0.02041, 0,
 19, 0.01807, 0.99385, 0.98267, 0.02041, 0,
 20, 0.00935, 0.99777, 0.20000, 0.00000, 0,
 21, 0.00760, 0.99851, 0.97700, 0.02041, 0,
 22, 0.01058, 0.99702, 0.97267, 0.02041, 0,
 23, 0.00615, 0.99870, 0.98267, 0.02041, 0,
 24, 0.01222, 0.99646, 0.98533, 0.02041, 0,
 25, 0.00657, 0.99888, 0.98333, 0.02041, 0,
 26, 0.00526, 0.99907, 0.97767, 0.02041, 0,
 27, 0.00888, 0.99795, 0.97733, 0.02041, 0,
 28, 0.00589, 0.99888, 0.97600, 0.02041, 0,
 29, 0.00722, 0.99814, 0.97500, 0.02041, 0,
 30, 0.00501, 0.99870, 0.97967, 0.02041, 0,
 31, 0.00727, 0.99814, 0.98467, 0.02041, 0,
 32, 0.00389, 0.99907, 0.98667, 0.00000, 0,
 33, 0.00593, 0.99814, 0.98067, 0.02041, 0,
 34, 0.00403, 0.99870, 0.88700, 0.00000, 0,
 35, 0.00583, 0.99851, 0.98400, 0.02041, 0,
 36, 0.00296, 0.99888, 0.98367, 0.02041, 0,
 37, 0.00426, 0.99888, 0.97767, 0.02041, 0,
 38, 0.00430, 0.99870, 0.97967, 0.02041, 0,
 39, 0.00285, 0.99907, 0.20000, 0.00000, 0,
 40, 0.00382, 0.99944, 0.97600, 0.02041, 0,
 41, 0.00433, 0.99907, 0.97467, 0.02041, 0,
 42, 0.00351, 0.99888, 0.98067, 0.02041, 0,
 43, 0.00316, 0.99907, 0.36633, 0.00000, 0,
 44, 0.00421, 0.99870, 0.20000, 0.00000, 0,
 45, 0.00377, 0.99888, 0.98167, 0.02041, 0,
 46, 0.00317, 0.99888, 0.97667, 0.02041, 0,
 47, 0.00380, 0.99870, 0.97400, 0.02041, 0,
 48, 0.00304, 0.99888, 0.97733, 0.02041, 0,
 49, 0.00390, 0.99926, 0.98233, 0.02041, 0,
