epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.22646, 0.91801, 0.54133, 0.00000, 1,
  1, 0.07358, 0.97806, 0.20000, 0.00000, 0,
  2, 0.04767, 0.98792, 0.93100, 0.02041, 1,
  3, 0.05225, 0.98736, 0.20000, 0.00000, 0,
  4, 0.03893, 0.98978, 0.75367, 0.02041, 0,
  5, 0.03755, 0.98996, 0.97867, 0.02041, 1,
  6, 0.02885, 0.99163, 0.98267, 0.00000, 1,
  7, 0.02491, 0.99312, 0.94133, 0.02041, 0,
  8, 0.02034, 0.99479, 0.98100, 0.00000, 0,
  9, 0.01911, 0.99461, 0.98300, 0.02041, 1,
 10, 0.00870, 0.99833, 0.98267, 0.02041, 0,
 11, 0.01780, 0.99628, 0.96900, 0.00000, 0,
 12, 0.01740, 0.99535, 0.98433, 0.00000, 1,
 13, 0.01300, 0.99740, 0.98267, 0.02041, 0,
 14, 0.00855, 0.99833, 0.98333, 0.02041, 0,
 15, 0.01054, 0.99721, 0.98667, 0.02041, 1,
 16, 0.01196, 0.99610, 0.20000, 0.00000, 0,
 17, 0.00915, 0.99833, 0.98333, 0.02041, 0,
 18, 0.00959, 0.99740, 0.98200, 0.02041, 0,
 19, 0.00907, 0.99814, 0.98133, 0.02041, 0,
 20, 0.00860, 0.99740, 0.20000, 0.00000, 0,
 21, 0.00642, 0.99833, 0.97933, 0.02041, 0,
 22, 0.00993, 0.99703, 0.98367, 0.02041, 0,
 23, 0.00460, 0.99907, 0.97967, 0.02041, 0,
 24, 0.00529, 0.99833, 0.98100, 0.02041, 0,
 25, 0.00654, 0.99814, 0.97500, 0.02041, 0,
 26, 0.00573, 0.99796, 0.97767, 0.02041, 0,
 27, 0.00773, 0.99777, 0.98000, 0.02041, 0,
 28, 0.00441, 0.99888, 0.98200, 0.02041, 0,
 29, 0.00297, 0.99888, 0.97500, 0.02041, 0,
 30, 0.00531, 0.99870, 0.97667, 0.02041, 0,
 31, 0.00515, 0.99888, 0.98167, 0.02041, 0,
 32, 0.00333, 0.99907, 0.98200, 0.02041, 0,
 33, 0.00306, 0.99870, 0.97767, 0.02041, 0,
 34, 0.00384, 0.99907, 0.97800, 0.02041, 0,
 35, 0.00379, 0.99870, 0.98133, 0.02041, 0,
 36, 0.00388, 0.99888, 0.98567, 0.02041, 0,
 37, 0.00280, 0.99944, 0.97567, 0.02041, 0,
 38, 0.00359, 0.99944, 0.98267, 0.02041, 0,
 39, 0.00282, 0.99888, 0.98200, 0.02041, 0,
 40, 0.00296, 0.99907, 0.98100, 0.02041, 0,
 41, 0.00238, 0.99944, 0.97533, 0.02041, 0,
 42, 0.00235, 0.99907, 0.97233, 0.02041, 0,
 43, 0.00252, 0.99926, 0.98200, 0.02041, 0,
 44, 0.00238, 0.99926, 0.97500, 0.02041, 0,
 45, 0.00263, 0.99926, 0.97300, 0.02041, 0,
 46, 0.00188, 0.99926, 0.97433, 0.02041, 0,
 47, 0.00253, 0.99888, 0.98267, 0.02041, 0,
 48, 0.00159, 0.99963, 0.97300, 0.02041, 0,
 49, 0.00326, 0.99888, 0.98167, 0.02041, 0,
