process_num, iter_num, probability
3, 0, 0.9998329877853394,
17, 0, 0.9989005327224731,
6, 0, 0.9997699856758118,
5, 0, 0.9997914433479309,
7, 0, 0.9997530579566956,
8, 0, 0.9997912049293518,
13, 0, 0.999882698059082,
11, 0, 0.9998132586479187,
14, 0, 0.9997995495796204,
16, 0, 0.9998676776885986,
4, 0, 0.9990505576133728,
10, 0, 0.9998844861984253,
12, 0, 0.9998940229415894,
1, 0, 0.9998912811279297,
15, 0, 0.999393105506897,
17, 1, 0.9986119270324707,
5, 1, 0.9997431635856628,
3, 1, 0.9998582601547241,
6, 1, 0.9998706579208374,
7, 1, 0.9997305274009705,
8, 1, 0.999651312828064,
10, 1, 0.9998767375946045,
11, 1, 0.9998773336410522,
14, 1, 0.9997538924217224,
15, 1, 0.9996058344841003,
13, 1, 0.9991428852081299,
1, 1, 0.9998897314071655,
16, 1, 0.9998469352722168,
4, 1, 0.999798595905304,
5, 2, 0.9996942281723022,
17, 2, 0.9976524710655212,
12, 1, 0.9998992681503296,
6, 2, 0.9998787641525269,
7, 2, 0.9989650249481201,
8, 2, 0.9997865557670593,
10, 2, 0.9998906850814819,
13, 2, 0.9998902082443237,
3, 2, 0.9998868703842163,
1, 2, 0.9998674392700195,
15, 2, 0.9987239241600037,
5, 3, 0.9997357726097107,
14, 2, 0.9997492432594299,
16, 2, 0.9998877048492432,
11, 2, 0.9991887211799622,
4, 2, 0.999256432056427,
7, 3, 0.9998979568481445,
17, 3, 0.9993952512741089,
6, 3, 0.9997437596321106,
8, 3, 0.9998806715011597,
10, 3, 0.999894380569458,
13, 3, 0.9998107552528381,
5, 4, 0.999804675579071,
15, 3, 0.9998501539230347,
3, 3, 0.9998856782913208,
1, 3, 0.999875545501709,
16, 3, 0.9998891353607178,
14, 3, 0.9998210072517395,
11, 3, 0.9994454979896545,
7, 4, 0.9997203946113586,
8, 4, 0.9996950626373291,
6, 4, 0.9997796416282654,
17, 4, 0.9996234178543091,
10, 4, 0.9998912811279297,
4, 3, 0.9999022483825684,
5, 5, 0.9995120763778687,
12, 2, 0.999900221824646,
13, 4, 0.9998294115066528,
15, 4, 0.9996776580810547,
1, 4, 0.9998962879180908,
7, 5, 0.9997181296348572,
16, 4, 0.9998897314071655,
14, 4, 0.9997565150260925,
5, 6, 0.9997914433479309,
11, 4, 0.9997954964637756,
6, 5, 0.9998289346694946,
3, 4, 0.9997912049293518,
8, 5, 0.9998090863227844,
10, 5, 0.9998741149902344,
13, 5, 0.9998605251312256,
17, 5, 0.9998811483383179,
4, 4, 0.9991466999053955,
15, 5, 0.9998175501823425,
12, 3, 0.9998940229415894,
5, 7, 0.9997918009757996,
7, 6, 0.9997429251670837,
8, 6, 0.9997547268867493,
1, 5, 0.9998666048049927,
11, 5, 0.998445451259613,
6, 6, 0.9998031258583069,
14, 5, 0.9998006224632263,
10, 6, 0.9998856782913208,
16, 5, 0.9998912811279297,
13, 6, 0.999894380569458,
17, 6, 0.9989835619926453,
15, 6, 0.9997996687889099,
3, 5, 0.9997840523719788,
4, 5, 0.9991781115531921,
5, 8, 0.9995298385620117,
7, 7, 0.9997263550758362,
8, 7, 0.9997718930244446,
6, 7, 0.9996969699859619,
11, 6, 0.9998273849487305,
10, 7, 0.9998844861984253,
