epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.00684, 0.99826, 0.96633, 1, 1.00000, 0.99500, 0.99000, 0.95500, 0.89167,
  1, 0.04308, 0.98860, 0.98000, 1, 1.00000, 0.99667, 0.99333, 0.92667, 0.98333,
  2, 0.03263, 0.99066, 0.98133, 1, 1.00000, 0.99667, 0.99333, 0.95000, 0.96667,
  3, 0.01959, 0.99604, 0.50633, 0, 0.57833, 0.10500, 0.05333, 0.80000, 0.99500,
  4, 0.02798, 0.99145, 0.95267, 0, 0.99833, 0.96500, 0.87167, 0.96333, 0.96500,
  5, 0.01825, 0.99493, 0.91067, 0, 1.00000, 0.90333, 0.79667, 0.85833, 0.99500,
  6, 0.01920, 0.99398, 0.96600, 0, 1.00000, 0.99667, 0.98833, 0.96333, 0.88167,
  7, 0.01432, 0.99588, 0.98533, 1, 1.00000, 0.99667, 0.99667, 0.96167, 0.97167,
  8, 0.01448, 0.99588, 0.98200, 0, 1.00000, 1.00000, 0.99333, 0.97000, 0.94667,
  9, 0.01214, 0.99683, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 10, 0.01249, 0.99604, 0.94433, 0, 1.00000, 0.98667, 0.95000, 0.94667, 0.83833,
 11, 0.00875, 0.99826, 0.94000, 0, 1.00000, 0.99833, 0.99333, 0.95333, 0.75500,
 12, 0.01340, 0.99731, 0.90933, 0, 1.00000, 0.96167, 0.95000, 0.93500, 0.70000,
 13, 0.00886, 0.99810, 0.96400, 0, 1.00000, 0.99667, 0.99333, 0.97167, 0.85833,
 14, 0.01052, 0.99715, 0.95533, 0, 1.00000, 0.99667, 0.99667, 0.96833, 0.81500,
 15, 0.00823, 0.99794, 0.94633, 0, 1.00000, 0.99500, 0.99500, 0.96500, 0.77667,
 16, 0.00754, 0.99810, 0.98133, 0, 1.00000, 0.99833, 0.98500, 0.96333, 0.96000,
 17, 0.00701, 0.99810, 0.97600, 0, 1.00000, 0.99333, 0.98500, 0.97000, 0.93167,
 18, 0.00743, 0.99794, 0.95733, 0, 1.00000, 0.99667, 0.98333, 0.95833, 0.84833,
 19, 0.00654, 0.99826, 0.98467, 0, 1.00000, 0.99167, 0.98667, 0.96833, 0.97667,
 20, 0.00759, 0.99747, 0.93967, 0, 1.00000, 0.96000, 0.95833, 0.97000, 0.81000,
 21, 0.00565, 0.99889, 0.95700, 0, 1.00000, 0.99833, 0.98833, 0.95667, 0.84167,
 22, 0.00504, 0.99905, 0.92333, 0, 1.00000, 0.99500, 0.84000, 0.89667, 0.88500,
 23, 0.00605, 0.99794, 0.95367, 0, 1.00000, 0.98333, 0.97500, 0.95500, 0.85500,
 24, 0.00411, 0.99889, 0.95733, 0, 1.00000, 0.99833, 0.98833, 0.95500, 0.84500,
 25, 0.00503, 0.99889, 0.96567, 0, 1.00000, 0.99667, 0.98500, 0.95333, 0.89333,
 26, 0.00608, 0.99873, 0.95900, 0, 1.00000, 0.99833, 0.98333, 0.95333, 0.86000,
 27, 0.00491, 0.99873, 0.97767, 0, 1.00000, 1.00000, 0.99167, 0.96500, 0.93167,
 28, 0.00271, 0.99953, 0.95800, 0, 1.00000, 0.99833, 0.99167, 0.95167, 0.84833,
 29, 0.00413, 0.99889, 0.97133, 0, 1.00000, 0.99833, 0.99167, 0.96667, 0.90000,
 30, 0.00411, 0.99858, 0.94767, 0, 1.00000, 0.99833, 0.98500, 0.96667, 0.78833,
 31, 0.00337, 0.99905, 0.92600, 0, 1.00000, 0.96500, 0.90500, 0.95333, 0.80667,
 32, 0.00251, 0.99937, 0.95367, 0, 1.00000, 0.99833, 0.99000, 0.95333, 0.82667,
 33, 0.00259, 0.99953, 0.94333, 0, 1.00000, 0.99667, 0.98167, 0.95000, 0.78833,
