epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.01620, 0.99506, 0.97900, 1, 1.00000, 0.99833, 0.99500, 0.96333, 0.93833,
  1, 0.40487, 0.84269, 0.90833, 0, 1.00000, 0.99667, 0.99667, 0.95833, 0.59000,
  2, 0.12871, 0.95939, 0.95500, 0, 1.00000, 0.99333, 0.93333, 0.85500, 0.99333,
  3, 0.09070, 0.96927, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  4, 0.07522, 0.97549, 0.75400, 0, 1.00000, 0.96500, 0.62167, 0.88167, 0.30167,
  5, 0.08282, 0.97348, 0.96433, 0, 1.00000, 0.99500, 0.96667, 0.98500, 0.87500,
  6, 0.07513, 0.97659, 0.93800, 0, 1.00000, 1.00000, 0.98000, 0.93167, 0.77833,
  7, 0.06361, 0.98006, 0.97700, 0, 1.00000, 0.99167, 0.99000, 0.97667, 0.92667,
  8, 0.05258, 0.98537, 0.75767, 0, 1.00000, 0.42667, 0.75667, 0.92333, 0.68167,
  9, 0.04215, 0.98793, 0.96967, 0, 1.00000, 0.97833, 0.99000, 0.97667, 0.90333,
 10, 0.04035, 0.98884, 0.89767, 0, 1.00000, 0.99667, 0.94500, 0.94667, 0.60000,
 11, 0.03167, 0.98957, 0.44667, 0, 0.95333, 0.05500, 0.14333, 0.08167, 1.00000,
 12, 0.04097, 0.98811, 0.96500, 0, 1.00000, 0.99500, 0.99000, 0.96500, 0.87500,
 13, 0.02255, 0.99305, 0.96467, 0, 1.00000, 1.00000, 0.99000, 0.96167, 0.87167,
 14, 0.02963, 0.99104, 0.96267, 0, 1.00000, 0.99500, 0.97333, 0.96000, 0.88500,
 15, 0.02546, 0.99232, 0.97867, 0, 1.00000, 1.00000, 0.99333, 0.96500, 0.93500,
 16, 0.01709, 0.99579, 0.97167, 0, 1.00000, 0.99833, 0.99500, 0.96500, 0.90000,
 17, 0.02007, 0.99451, 0.96433, 0, 1.00000, 0.98833, 0.96000, 0.96833, 0.90500,
 18, 0.02117, 0.99396, 0.97200, 0, 1.00000, 0.99833, 0.99000, 0.97000, 0.90167,
 19, 0.01722, 0.99543, 0.96533, 0, 1.00000, 0.99000, 0.99000, 0.96833, 0.87833,
 20, 0.02038, 0.99415, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 21, 0.00990, 0.99799, 0.97033, 0, 1.00000, 0.99667, 0.99167, 0.97167, 0.89167,
 22, 0.01176, 0.99707, 0.97233, 0, 1.00000, 0.99667, 0.99167, 0.96667, 0.90667,
 23, 0.00735, 0.99817, 0.97233, 0, 1.00000, 0.99667, 0.98667, 0.97000, 0.90833,
 24, 0.01552, 0.99543, 0.97133, 0, 1.00000, 0.99667, 0.99000, 0.96167, 0.90833,
 25, 0.00673, 0.99762, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 26, 0.01498, 0.99616, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 27, 0.00700, 0.99872, 0.97433, 0, 1.00000, 0.99667, 0.98667, 0.95667, 0.93167,
 28, 0.00674, 0.99817, 0.96500, 0, 1.00000, 0.99000, 0.98000, 0.96333, 0.89167,
 29, 0.00957, 0.99762, 0.97500, 0, 1.00000, 0.99667, 0.99000, 0.96667, 0.92167,
 30, 0.00602, 0.99817, 0.97867, 0, 1.00000, 0.99500, 0.99500, 0.97167, 0.93167,
 31, 0.00459, 0.99909, 0.96700, 0, 1.00000, 0.99167, 0.97833, 0.96667, 0.89833,
 32, 0.00602, 0.99890, 0.97633, 0, 1.00000, 0.99667, 0.99167, 0.96833, 0.92500,
 33, 0.00568, 0.99890, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 34, 0.00649, 0.99817, 0.94267, 0, 1.00000, 0.99833, 0.97833, 0.95833, 0.77833,
 35, 0.00492, 0.99927, 0.97933, 1, 1.00000, 0.99833, 0.99167, 0.96667, 0.94000,
 36, 0.00447, 0.99890, 0.97400, 0, 1.00000, 0.99833, 0.99000, 0.96667, 0.91500,
 37, 0.00466, 0.99872, 0.94300, 0, 1.00000, 0.99333, 0.97667, 0.96000, 0.78500,
 38, 0.00778, 0.99854, 0.97700, 0, 1.00000, 0.99667, 0.98833, 0.96833, 0.93167,
 39, 0.00489, 0.99872, 0.96967, 0, 1.00000, 0.98833, 0.99000, 0.96167, 0.90833,
 40, 0.00453, 0.99872, 0.97767, 0, 1.00000, 0.99667, 0.99000, 0.97000, 0.93167,
 41, 0.00363, 0.99890, 0.97133, 0, 1.00000, 0.99667, 0.99333, 0.97000, 0.89667,
 42, 0.00466, 0.99890, 0.97667, 0, 1.00000, 0.99667, 0.99167, 0.97000, 0.92500,
 43, 0.00610, 0.99872, 0.97233, 0, 1.00000, 0.99833, 0.99000, 0.96833, 0.90500,
 44, 0.00329, 0.99927, 0.98167, 1, 1.00000, 0.99667, 0.99167, 0.97167, 0.94833,
 45, 0.00410, 0.99890, 0.95600, 0, 1.00000, 0.99667, 0.98667, 0.96500, 0.83167,
 46, 0.00338, 0.99927, 0.98033, 0, 1.00000, 0.99833, 0.99167, 0.97167, 0.94000,
 47, 0.00374, 0.99890, 0.96133, 0, 1.00000, 0.99667, 0.98500, 0.96333, 0.86167,
 48, 0.00488, 0.99909, 0.97333, 0, 1.00000, 0.99667, 0.99000, 0.97000, 0.91000,
 49, 0.00441, 0.99909, 0.96233, 0, 1.00000, 0.99833, 0.99167, 0.96667, 0.85500,
 50, 0.00322, 0.99909, 0.98400, 1, 1.00000, 0.99667, 0.99500, 0.97167, 0.95667,
 51, 0.00321, 0.99909, 0.97333, 0, 1.00000, 0.99667, 0.98833, 0.96667, 0.91500,
 52, 0.00454, 0.99835, 0.98367, 0, 1.00000, 0.99667, 0.99667, 0.97167, 0.95333,
 53, 0.00315, 0.99909, 0.97600, 0, 1.00000, 0.99833, 0.99333, 0.96833, 0.92000,
 54, 0.00356, 0.99909, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 55, 0.00326, 0.99909, 0.98333, 0, 1.00000, 0.99667, 0.99500, 0.97500, 0.95000,
 56, 0.00574, 0.99890, 0.97567, 0, 1.00000, 0.99833, 0.99167, 0.96833, 0.92000,
 57, 0.00332, 0.99909, 0.97133, 0, 1.00000, 0.99667, 0.98667, 0.96500, 0.90833,
 58, 0.00316, 0.99927, 0.98067, 0, 1.00000, 0.99833, 0.99500, 0.97333, 0.93667,
 59, 0.00249, 0.99927, 0.98100, 0, 1.00000, 0.99833, 0.99500, 0.97333, 0.93833,
