epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.03671, 0.99037, 0.98033, 1, 1.00000, 1.00000, 1.00000, 0.96833, 0.93333,
  1, 0.08097, 0.97439, 0.65233, 0, 1.00000, 0.71833, 0.19667, 0.35167, 0.99500,
  2, 0.02967, 0.99278, 0.67100, 0, 0.98333, 0.76167, 0.30500, 0.31000, 0.99500,
  3, 0.02211, 0.99398, 0.98967, 1, 1.00000, 0.99833, 1.00000, 0.98167, 0.96833,
  4, 0.00935, 0.99862, 0.99167, 1, 1.00000, 0.99833, 1.00000, 0.98500, 0.97500,
  5, 0.00688, 0.99914, 0.98167, 0, 1.00000, 1.00000, 1.00000, 0.96833, 0.94000,
  6, 0.00598, 0.99914, 0.98400, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.94833,
  7, 0.00579, 0.99914, 0.97333, 0, 1.00000, 1.00000, 1.00000, 0.96500, 0.90167,
  8, 0.00558, 0.99914, 0.98800, 0, 1.00000, 1.00000, 1.00000, 0.97667, 0.96333,
  9, 0.00552, 0.99914, 0.98033, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.93000,
 10, 0.00532, 0.99914, 0.98867, 0, 1.00000, 1.00000, 1.00000, 0.97667, 0.96667,
 11, 0.00487, 0.99914, 0.99033, 0, 1.00000, 0.99833, 1.00000, 0.98333, 0.97000,
 12, 0.00511, 0.99914, 0.98100, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.93333,
 13, 0.00541, 0.99914, 0.97800, 0, 1.00000, 1.00000, 0.99833, 0.97167, 0.92000,
 14, 0.00533, 0.99914, 0.94000, 0, 1.00000, 1.00000, 0.99667, 0.95833, 0.74500,
 15, 0.00549, 0.99914, 0.98533, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.95333,
 16, 0.00428, 0.99914, 0.98433, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.95000,
 17, 0.00410, 0.99914, 0.98933, 0, 1.00000, 1.00000, 1.00000, 0.98333, 0.96333,
 18, 0.00472, 0.99914, 0.97600, 0, 1.00000, 1.00000, 0.99667, 0.96833, 0.91500,
 19, 0.00501, 0.99914, 0.98467, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.95000,
 20, 0.00479, 0.99914, 0.96900, 0, 0.99167, 0.97833, 0.94833, 0.97167, 0.95500,
 21, 0.00412, 0.99914, 0.98400, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.94833,
 22, 0.00607, 0.99880, 0.97600, 0, 1.00000, 1.00000, 0.99667, 0.95833, 0.92500,
 23, 0.00437, 0.99914, 0.97433, 0, 0.99167, 0.97833, 0.97000, 0.97833, 0.95333,
 24, 0.00394, 0.99931, 0.98200, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.93833,
 25, 0.00363, 0.99914, 0.98500, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.95167,
 26, 0.00336, 0.99931, 0.98033, 0, 0.99833, 0.99667, 1.00000, 0.97333, 0.93333,
 27, 0.00331, 0.99931, 0.98667, 0, 1.00000, 1.00000, 1.00000, 0.97500, 0.95833,
 28, 0.00304, 0.99948, 0.98533, 0, 1.00000, 1.00000, 1.00000, 0.97500, 0.95167,
 29, 0.00289, 0.99931, 0.98000, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.93500,
 30, 0.00260, 0.99966, 0.97833, 0, 0.99833, 0.98333, 0.97667, 0.97667, 0.95667,
 31, 0.00253, 0.99948, 0.99033, 0, 1.00000, 0.99833, 1.00000, 0.96667, 0.98667,
 32, 0.00266, 0.99948, 0.98767, 0, 1.00000, 1.00000, 1.00000, 0.97667, 0.96167,
 33, 0.00192, 0.99948, 0.98367, 0, 0.99833, 0.98833, 0.99167, 0.97833, 0.96167,
 34, 0.00145, 0.99966, 0.98433, 0, 1.00000, 1.00000, 0.99833, 0.96833, 0.95500,
 35, 0.00148, 0.99983, 0.98467, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.95167,
 36, 0.00096, 0.99983, 0.98000, 0, 1.00000, 0.99667, 1.00000, 0.97500, 0.92833,
 37, 0.00091, 1.00000, 0.98667, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.96000,
 38, 0.00074, 1.00000, 0.98433, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.95000,
 39, 0.00066, 1.00000, 0.98533, 0, 0.99833, 0.99667, 0.99833, 0.98000, 0.95333,
 40, 0.00065, 1.00000, 0.98433, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.95000,
 41, 0.00061, 1.00000, 0.98000, 0, 1.00000, 1.00000, 1.00000, 0.96667, 0.93333,
 42, 0.00057, 1.00000, 0.98100, 0, 1.00000, 0.99833, 1.00000, 0.97167, 0.93500,
 43, 0.00053, 1.00000, 0.98667, 0, 1.00000, 1.00000, 1.00000, 0.97500, 0.95833,
 44, 0.00051, 1.00000, 0.98267, 0, 1.00000, 1.00000, 1.00000, 0.96833, 0.94500,
