epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.01178, 0.99676, 0.98367, 1, 1.00000, 0.99667, 0.98167, 0.96333, 0.97667,
  1, 0.04217, 0.98638, 0.69433, 0, 0.99500, 0.47667, 0.48500, 0.53167, 0.98333,
  2, 0.02264, 0.99432, 0.45100, 0, 0.79833, 0.09667, 0.13667, 0.22667, 0.99667,
  3, 0.02982, 0.99141, 0.98067, 0, 1.00000, 0.99667, 0.99167, 0.93667, 0.97833,
  4, 0.02952, 0.99205, 0.98100, 0, 1.00000, 0.99833, 0.99167, 0.96333, 0.95167,
  5, 0.01396, 0.99627, 0.94167, 0, 1.00000, 0.99667, 0.99500, 0.93833, 0.77833,
  6, 0.01764, 0.99481, 0.90600, 0, 1.00000, 0.99833, 0.99167, 0.95000, 0.59000,
  7, 0.01612, 0.99562, 0.92400, 0, 1.00000, 0.99500, 0.93167, 0.90000, 0.79333,
  8, 0.01563, 0.99578, 0.96767, 0, 1.00000, 0.99667, 0.97167, 0.96000, 0.91000,
  9, 0.01526, 0.99578, 0.97533, 0, 1.00000, 0.99667, 0.99167, 0.95833, 0.93000,
 10, 0.01530, 0.99562, 0.95367, 0, 1.00000, 0.98833, 0.94500, 0.95167, 0.88333,
 11, 0.01087, 0.99822, 0.94767, 0, 1.00000, 0.99167, 0.95000, 0.95333, 0.84333,
 12, 0.00918, 0.99805, 0.95800, 0, 1.00000, 0.99667, 0.99167, 0.96000, 0.84167,
 13, 0.01218, 0.99724, 0.98100, 0, 1.00000, 0.99833, 0.99500, 0.95500, 0.95667,
 14, 0.00754, 0.99805, 0.96833, 0, 1.00000, 0.99667, 0.98167, 0.96000, 0.90333,
 15, 0.00885, 0.99724, 0.96000, 0, 1.00000, 0.99833, 0.98500, 0.95833, 0.85833,
 16, 0.00830, 0.99805, 0.95767, 0, 1.00000, 0.99833, 0.99500, 0.96167, 0.83333,
 17, 0.00779, 0.99789, 0.94400, 0, 1.00000, 0.90167, 0.93333, 0.89833, 0.98667,
 18, 0.00822, 0.99805, 0.96033, 0, 1.00000, 0.99667, 0.99000, 0.96167, 0.85333,
 19, 0.00562, 0.99870, 0.94567, 0, 1.00000, 0.99000, 0.97000, 0.96167, 0.80667,
 20, 0.00533, 0.99854, 0.96800, 0, 1.00000, 0.99667, 0.97000, 0.94000, 0.93333,
