% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=580217, Mon Oct  7 17:41:39 2019
155 2015 -0.40160541762508106 -0.00022880847981219428 0.00010414545004800376 0.2213408743251 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
156 2028 -0.39752039897434643 -3.420657700792025e-05 0.00024689350486252644 0.21291128629202022 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
157 2041 -0.39713791753140243 -8.62163701607832e-05 5.8948278335824046e-05 0.2151415544566496 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
158 2054 -0.4056933477702758 -0.00012907635290188395 4.973673943550827e-05 0.20643486334366068 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
159 2067 -0.4009243905251505 -0.00016277242142480284 9.909975428617002e-05 0.20236194295304444 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
160 2080 -0.4055736737810014 -8.860078318453373e-05 5.4604404485663694e-05 0.20008462108068253 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
161 2093 -0.3980329966560005 -3.566117507876867e-05 6.999634947421858e-05 0.20969319732356692 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
162 2106 -0.39423435619043373 -0.000299990145491066 5.489797853688635e-05 0.20324903355267848 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
163 2119 -0.3923167661664194 -0.0003206042682172282 7.843892709428807e-05 0.21073657126173773 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
164 2132 -0.3961640625979892 -0.0001676556335375217 4.720039189906522e-05 0.2211750822158446 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
165 2145 -0.3879682945926569 -0.00012858656914227848 3.059817386265709e-05 0.23505089552795422 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
166 2158 -0.39990921368135834 -4.2961661006078484e-05 3.3473284617966026e-06 0.25899862493898185 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
167 2171 -0.39926348207108386 -1.6254919759145345e-05 1.7385457330745855e-05 0.2704588299193676 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
168 2184 -0.39848935193357715 -1.6814447469185646e-05 0.0001728339513091397 0.2797099164658812 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
169 2197 -0.4007127175708167 -1.6469396424363704e-05 1.9859540366321734e-05 0.27729640744540013 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
170 2210 -0.40464575421545884 -3.0638800130092526e-05 2.11739774524761e-05 0.263207936512481 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
171 2223 -0.4211541034542113 -9.778591398376626e-06 8.117588989051935e-06 0.26580481940226114 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
172 2236 -0.41081614444763603 -0.00010229782843344085 3.826670281598071e-06 0.28464887193639016 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
173 2249 -0.4101608842613024 -3.121984629273736e-05 2.41432330006841e-05 0.29091143748475323 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
174 2262 -0.42884041831838965 -4.927396518037554e-05 4.681914797356423e-05 0.3064708880494353 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
175 2275 -0.42967996972537054 -3.630221088295508e-05 4.281790812109384e-05 0.31204218580208526 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
176 2288 -0.4206516003849417 -0.00014521011595301057 9.36641308687169e-06 0.30856382283482714 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
177 2301 -0.43449697341469506 -7.494850561565931e-05 2.1114966259790074e-05 0.3307463724931753 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
178 2314 -0.4348044048475302 -8.396892819554745e-06 0.00020016216098005886 0.33197421977198277 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
