epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.01033, 0.99815, 0.98033, 0.75940, 1,
  1, 0.12914, 0.96302, 0.97333, 0.60902, 0,
  2, 0.06291, 0.98095, 0.97467, 0.48120, 0,
  3, 0.05600, 0.98484, 0.98033, 0.67669, 0,
  4, 0.03727, 0.99038, 0.97167, 0.57143, 0,
  5, 0.03446, 0.99112, 0.20300, 0.17293, 0,
  6, 0.04593, 0.98780, 0.95933, 0.51880, 0,
  7, 0.02418, 0.99297, 0.98233, 0.66917, 1,
  8, 0.03481, 0.99094, 0.98300, 0.61654, 1,
  9, 0.01789, 0.99501, 0.98433, 0.75188, 1,
 10, 0.02114, 0.99279, 0.98233, 0.73684, 0,
 11, 0.01905, 0.99482, 0.97733, 0.67669, 0,
 12, 0.01831, 0.99593, 0.98433, 0.72180, 0,
 13, 0.02762, 0.99223, 0.97500, 0.74436, 0,
 14, 0.01611, 0.99501, 0.96800, 0.64662, 0,
 15, 0.01235, 0.99704, 0.97633, 0.71429, 0,
 16, 0.01071, 0.99686, 0.97433, 0.54135, 0,
 17, 0.01307, 0.99649, 0.98233, 0.75188, 0,
 18, 0.00839, 0.99871, 0.97633, 0.68421, 0,
 19, 0.00703, 0.99889, 0.98400, 0.72180, 0,
 20, 0.01102, 0.99630, 0.96467, 0.61654, 0,
 21, 0.01067, 0.99667, 0.97900, 0.63158, 0,
 22, 0.00754, 0.99852, 0.97100, 0.53383, 0,
 23, 0.00816, 0.99834, 0.98233, 0.67669, 0,
 24, 0.00796, 0.99760, 0.97033, 0.56391, 0,
 25, 0.00572, 0.99852, 0.98233, 0.66917, 0,
 26, 0.00636, 0.99834, 0.98167, 0.69173, 0,
 27, 0.00603, 0.99852, 0.98600, 0.81203, 1,
 28, 0.00448, 0.99852, 0.97900, 0.60902, 0,
 29, 0.00683, 0.99815, 0.98300, 0.72180, 0,
 30, 0.00346, 0.99908, 0.96167, 0.56391, 0,
 31, 0.00641, 0.99815, 0.98167, 0.78195, 0,
 32, 0.00474, 0.99871, 0.98300, 0.78947, 0,
 33, 0.00477, 0.99834, 0.98167, 0.74436, 0,
 34, 0.00489, 0.99871, 0.98267, 0.71429, 0,
 35, 0.00465, 0.99889, 0.98667, 0.75940, 1,
 36, 0.00576, 0.99871, 0.98533, 0.76692, 0,
 37, 0.00439, 0.99871, 0.98700, 0.72932, 1,
 38, 0.00400, 0.99908, 0.98500, 0.75188, 0,
 39, 0.00263, 0.99926, 0.98400, 0.72180, 0,
 40, 0.00243, 0.99945, 0.24600, 0.17293, 0,
 41, 0.00313, 0.99908, 0.98233, 0.71429, 0,
 42, 0.00361, 0.99889, 0.98333, 0.72932, 0,
 43, 0.00277, 0.99889, 0.98233, 0.72180, 0,
 44, 0.00446, 0.99908, 0.98200, 0.75940, 0,
 45, 0.00340, 0.99908, 0.98333, 0.77444, 0,
 46, 0.00420, 0.99871, 0.98300, 0.72932, 0,
 47, 0.00353, 0.99908, 0.98733, 0.69925, 1,
 48, 0.00341, 0.99908, 0.20000, 0.00000, 0,
 49, 0.00369, 0.99889, 0.98700, 0.75188, 0,
