epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.10572, 0.96841, 0.20000, 1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  1, 0.11936, 0.96418, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.10238, 0.96912, 0.20733, 1, 0.00000, 0.00333, 0.00667, 0.02667, 1.00000,
  3, 0.07706, 0.97547, 0.62100, 1, 0.15500, 0.52500, 0.49333, 0.99500, 0.93667,
  4, 0.05680, 0.98200, 0.20167, 0, 0.00000, 0.00000, 0.00000, 0.00833, 1.00000,
  5, 0.04100, 0.98853, 0.89700, 1, 0.99833, 0.66667, 0.94167, 0.88333, 0.99500,
  6, 0.03519, 0.99047, 0.79200, 0, 0.98000, 0.39167, 0.81333, 0.77833, 0.99667,
  7, 0.02548, 0.99312, 0.86933, 0, 0.99833, 0.49667, 0.95833, 0.89833, 0.99500,
  8, 0.02273, 0.99347, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  9, 0.02171, 0.99453, 0.96833, 1, 1.00000, 0.99667, 1.00000, 0.97167, 0.87333,
 10, 0.01770, 0.99594, 0.98067, 1, 1.00000, 1.00000, 1.00000, 0.97333, 0.93000,
 11, 0.01412, 0.99682, 0.98667, 1, 1.00000, 1.00000, 1.00000, 0.97500, 0.95833,
 12, 0.01058, 0.99612, 0.97600, 0, 1.00000, 0.99667, 1.00000, 0.97500, 0.90833,
 13, 0.00997, 0.99753, 0.98633, 0, 1.00000, 1.00000, 0.99833, 0.97500, 0.95833,
 14, 0.00922, 0.99753, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 15, 0.00804, 0.99788, 0.98200, 0, 1.00000, 0.99667, 1.00000, 0.97500, 0.93833,
 16, 0.00834, 0.99806, 0.98700, 1, 1.00000, 0.99500, 0.99333, 0.98167, 0.96500,
 17, 0.00791, 0.99876, 0.98700, 0, 1.00000, 1.00000, 1.00000, 0.97500, 0.96000,
 18, 0.00709, 0.99806, 0.98167, 0, 0.99833, 0.96500, 0.99500, 0.97167, 0.97833,
 19, 0.00802, 0.99647, 0.98600, 0, 1.00000, 0.98833, 1.00000, 0.97500, 0.96667,
 20, 0.00646, 0.99824, 0.98000, 0, 1.00000, 0.99833, 1.00000, 0.97500, 0.92667,
 21, 0.00802, 0.99788, 0.98500, 0, 1.00000, 0.97500, 0.99833, 0.97500, 0.97667,
 22, 0.01373, 0.99629, 0.25667, 0, 0.00000, 0.21833, 0.00000, 0.06667, 0.99833,
 23, 0.00936, 0.99771, 0.98800, 1, 1.00000, 0.99833, 1.00000, 0.97500, 0.96667,
 24, 0.00795, 0.99718, 0.97333, 0, 1.00000, 0.99667, 1.00000, 0.96667, 0.90333,
 25, 0.00583, 0.99788, 0.20033, 0, 0.00000, 0.00000, 0.00000, 0.00167, 1.00000,
 26, 0.00448, 0.99894, 0.21933, 0, 0.00000, 0.07500, 0.00000, 0.02167, 1.00000,
 27, 0.00398, 0.99912, 0.98700, 0, 1.00000, 0.99500, 0.99667, 0.98000, 0.96333,
 28, 0.00434, 0.99929, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 29, 0.00348, 0.99929, 0.98700, 0, 1.00000, 0.99500, 0.99833, 0.97667, 0.96500,
 30, 0.00332, 0.99912, 0.98500, 0, 1.00000, 0.99833, 1.00000, 0.97333, 0.95333,
 31, 0.00274, 0.99965, 0.98233, 0, 1.00000, 0.99833, 1.00000, 0.97500, 0.93833,
 32, 0.00250, 0.99929, 0.98433, 0, 1.00000, 0.99000, 1.00000, 0.97500, 0.95667,
 33, 0.00216, 0.99947, 0.23767, 0, 0.00333, 0.00167, 0.00833, 0.17667, 0.99833,
 34, 0.00195, 0.99947, 0.98200, 0, 1.00000, 1.00000, 1.00000, 0.97500, 0.93500,
 35, 0.00181, 0.99982, 0.72933, 0, 0.91333, 0.29333, 0.51500, 0.93500, 0.99000,
 36, 0.00176, 0.99982, 0.98467, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.95000,
 37, 0.00156, 0.99982, 0.98433, 0, 1.00000, 1.00000, 0.99833, 0.97500, 0.94833,
 38, 0.00157, 0.99982, 0.98633, 0, 0.99833, 0.99833, 0.99500, 0.97500, 0.96500,
 39, 0.00149, 0.99965, 0.98467, 0, 0.99833, 0.98667, 0.99500, 0.97667, 0.96667,
 40, 0.00137, 0.99965, 0.98267, 0, 1.00000, 0.99833, 1.00000, 0.97500, 0.94000,
 41, 0.00128, 0.99982, 0.98467, 0, 1.00000, 0.99833, 1.00000, 0.97500, 0.95000,
 42, 0.00122, 0.99982, 0.98467, 0, 1.00000, 1.00000, 0.99833, 0.97500, 0.95000,
 43, 0.00115, 0.99965, 0.21867, 0, 0.00000, 0.06833, 0.00000, 0.02500, 1.00000,
 44, 0.00109, 1.00000, 0.98067, 0, 1.00000, 0.99833, 1.00000, 0.97167, 0.93333,
 45, 0.00107, 0.99982, 0.98200, 0, 1.00000, 0.99667, 1.00000, 0.97167, 0.94167,
 46, 0.00098, 0.99982, 0.98633, 0, 1.00000, 0.99833, 1.00000, 0.97333, 0.96000,
