process_num, iter_num, probability
16, 16, 0.9998205304145813,
2, 2, 0.9999041557312012,
6, 6, 0.9998550415039062,
21, 21, 0.9984045624732971,
4, 4, 0.99988853931427,
10, 10, 0.999913215637207,
28, 28, 0.9996058344841003,
0, 0, 0.9998223185539246,
11, 11, 0.9998792409896851,
24, 24, 0.9998846054077148,
23, 23, 0.9998779296875,
3, 3, 0.9994843006134033,
1, 1, 0.9993230104446411,
5, 5, 0.9998687505722046,
26, 26, 0.9998983144760132,
9, 9, 0.9998708963394165,
13, 13, 0.9996261596679688,
7, 7, 0.9997496008872986,
15, 15, 0.9997639060020447,
17, 17, 0.999206006526947,
25, 25, 0.9998972415924072,
14, 14, 0.9998224377632141,
18, 18, 0.9998002648353577,
20, 20, 0.9996687173843384,
29, 29, 0.9997275471687317,
8, 8, 0.999893307685852,
27, 27, 0.9998993873596191,
12, 12, 0.9996011853218079,
22, 22, 0.9993960857391357,
19, 19, 0.999904990196228,
33, 33, 0.9995762705802917,
31, 31, 0.9997267127037048,
32, 32, 0.999862790107727,
40, 40, 0.999870777130127,
35, 35, 0.9998672008514404,
34, 34, 0.996944010257721,
37, 37, 0.999907374382019,
49, 49, 0.9998262524604797,
53, 53, 0.9998838901519775,
52, 52, 0.9998929500579834,
42, 42, 0.9998757839202881,
41, 41, 0.99952232837677,
43, 43, 0.999910831451416,
50, 50, 0.9997442364692688,
58, 58, 0.9991775155067444,
51, 51, 0.9977025389671326,
56, 56, 0.9997767806053162,
46, 46, 0.9996095299720764,
59, 59, 0.9980030655860901,
48, 48, 0.9999032020568848,
36, 36, 0.9998716115951538,
45, 45, 0.9997640252113342,
57, 57, 0.9998977184295654,
47, 47, 0.999897837638855,
44, 44, 0.9999052286148071,
39, 39, 0.9999037981033325,
55, 55, 0.9996588230133057,
30, 30, 0.9638345837593079,
54, 54, 0.9998483657836914,
38, 38, 0.9999035596847534,
72, 72, 0.9998980760574341,
62, 62, 0.9995909333229065,
73, 73, 0.9996582269668579,
75, 75, 0.9992642998695374,
84, 84, 0.9998086094856262,
64, 64, 0.9999039173126221,
77, 77, 0.9998717308044434,
60, 60, 0.9996771812438965,
79, 79, 0.9999063014984131,
82, 82, 0.9998973608016968,
61, 61, 0.999815046787262,
66, 66, 0.9999082088470459,
80, 80, 0.9997325539588928,
68, 68, 0.9998182654380798,
71, 71, 0.998906135559082,
67, 67, 0.999208390712738,
63, 63, 0.9981988072395325,
70, 70, 0.999811589717865,
65, 65, 0.998788058757782,
85, 85, 0.9999173879623413,
74, 74, 0.9999105930328369,
87, 87, 0.9986675977706909,
69, 69, 0.9997639060020447,
86, 86, 0.9997774958610535,
78, 78, 0.9998977184295654,
76, 76, 0.9998893737792969,
83, 83, 0.9998669624328613,
81, 81, 0.999894380569458,
89, 89, 0.999855637550354,
88, 88, 0.9998313188552856,
95, 95, 0.9997817873954773,
92, 92, 0.9998435974121094,
109, 109, 0.9992166757583618,
101, 101, 0.9998881816864014,
94, 94, 0.999891996383667,
100, 100, 0.9998894929885864,
115, 115, 0.999909520149231,
97, 97, 0.999715268611908,
102, 102, 0.9921565055847168,
108, 108, 0.9999102354049683,
96, 96, 0.9997807145118713,
93, 93, 0.9998723268508911,
116, 116, 0.9997190833091736,
90, 90, 0.9997865557670593,
91, 91, 0.9999021291732788,
113, 113, 0.9994866847991943,
110, 110, 0.9997922778129578,
114, 114, 0.9997007846832275,
98, 98, 0.9995859265327454,
119, 119, 0.9998782873153687,
103, 103, 0.999832034111023,
112, 112, 0.9994280934333801,
107, 107, 0.9998276233673096,
104, 104, 0.9998576641082764,
105, 105, 0.9998935461044312,
117, 117, 0.999893069267273,
99, 99, 0.9999066591262817,
118, 118, 0.9849144816398621,
106, 106, 0.9998854398727417,
111, 111, 0.9999252557754517,
125, 125, 0.9998088479042053,
123, 123, 0.9998887777328491,
133, 133, 0.9998652935028076,
120, 120, 0.9996219873428345,
126, 126, 0.9998613595962524,
131, 131, 0.9998626708984375,
135, 135, 0.9998818635940552,
128, 128, 0.9996901750564575,
124, 124, 0.9999103546142578,
144, 144, 0.9998562335968018,
137, 137, 0.9998365640640259,
147, 147, 0.9998809099197388,
127, 127, 0.998782217502594,
121, 121, 0.9989137649536133,
145, 145, 0.9996070265769958,
122, 122, 0.9998440742492676,
138, 138, 0.9998769760131836,
140, 140, 0.9998519420623779,
130, 130, 0.9998553991317749,
136, 136, 0.9998868703842163,
139, 139, 0.9998279809951782,
132, 132, 0.9998237490653992,
149, 149, 0.9980504512786865,
129, 129, 0.9987490177154541,
146, 146, 0.9999122619628906,
141, 141, 0.9998594522476196,
