epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00719, 0.99798, 0.98700, 0.84211, 1,
  1, 0.08101, 0.97614, 0.20000, 0.00000, 0,
  2, 0.04507, 0.98605, 0.98000, 0.65414, 0,
  3, 0.03739, 0.98880, 0.97200, 0.78947, 0,
  4, 0.03714, 0.98862, 0.96300, 0.63910, 0,
  5, 0.02968, 0.99137, 0.95367, 0.73684, 0,
  6, 0.03430, 0.99009, 0.96733, 0.78195, 0,
  7, 0.01547, 0.99541, 0.20000, 0.00000, 0,
  8, 0.02665, 0.99247, 0.97967, 0.73684, 0,
  9, 0.01427, 0.99615, 0.98733, 0.81955, 1,
 10, 0.02322, 0.99339, 0.97167, 0.69173, 0,
 11, 0.01303, 0.99633, 0.97367, 0.80451, 0,
 12, 0.01314, 0.99615, 0.25767, 0.47368, 0,
 13, 0.01375, 0.99670, 0.98433, 0.80451, 0,
 14, 0.00685, 0.99872, 0.98300, 0.82707, 0,
 15, 0.01798, 0.99541, 0.20000, 0.00000, 0,
 16, 0.00652, 0.99890, 0.97600, 0.76692, 0,
 17, 0.00635, 0.99835, 0.97867, 0.77444, 0,
 18, 0.01277, 0.99651, 0.98600, 0.82707, 0,
 19, 0.00678, 0.99761, 0.98600, 0.84962, 0,
 20, 0.00624, 0.99835, 0.98267, 0.81203, 0,
 21, 0.00669, 0.99835, 0.98567, 0.84211, 0,
 22, 0.00690, 0.99835, 0.98800, 0.81955, 1,
 23, 0.00403, 0.99890, 0.98633, 0.85714, 0,
 24, 0.00471, 0.99890, 0.98300, 0.82707, 0,
 25, 0.00461, 0.99890, 0.98667, 0.84211, 0,
 26, 0.00520, 0.99872, 0.98400, 0.81955, 0,
 27, 0.00363, 0.99908, 0.97867, 0.77444, 0,
 28, 0.00333, 0.99908, 0.98533, 0.78195, 0,
 29, 0.00408, 0.99872, 0.97800, 0.76692, 0,
 30, 0.00471, 0.99835, 0.98500, 0.85714, 0,
 31, 0.00324, 0.99945, 0.98567, 0.85714, 0,
 32, 0.00268, 0.99927, 0.98200, 0.75940, 0,
 33, 0.00307, 0.99945, 0.98433, 0.81203, 0,
 34, 0.00376, 0.99908, 0.97633, 0.71429, 0,
 35, 0.00389, 0.99890, 0.98300, 0.79699, 0,
 36, 0.00300, 0.99908, 0.97100, 0.72180, 0,
 37, 0.00368, 0.99872, 0.97367, 0.65414, 0,
 38, 0.00256, 0.99927, 0.98233, 0.73684, 0,
 39, 0.00410, 0.99872, 0.97400, 0.63158, 0,
 40, 0.00238, 0.99945, 0.98133, 0.77444, 0,
 41, 0.00274, 0.99908, 0.98100, 0.75940, 0,
 42, 0.00313, 0.99908, 0.98033, 0.78195, 0,
 43, 0.00293, 0.99908, 0.98767, 0.87218, 0,
 44, 0.00336, 0.99945, 0.98367, 0.78195, 0,
 45, 0.00238, 0.99927, 0.20333, 0.00000, 0,
 46, 0.00247, 0.99890, 0.97967, 0.72180, 0,
 47, 0.00290, 0.99872, 0.98300, 0.77444, 0,
 48, 0.00223, 0.99908, 0.97567, 0.67669, 0,
 49, 0.00303, 0.99945, 0.97700, 0.72932, 0,
