epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.01253, 0.99761, 0.98467, 0.87218, 1,
  1, 0.09210, 0.97389, 0.38533, 0.48120, 0,
  2, 0.05764, 0.98382, 0.97467, 0.71429, 0,
  3, 0.03734, 0.99136, 0.98667, 0.74436, 1,
  4, 0.04497, 0.98676, 0.98067, 0.76692, 0,
  5, 0.02163, 0.99467, 0.98600, 0.84211, 0,
  6, 0.02422, 0.99301, 0.98567, 0.65414, 0,
  7, 0.02624, 0.99356, 0.98500, 0.75940, 0,
  8, 0.01668, 0.99522, 0.97933, 0.69173, 0,
  9, 0.01720, 0.99522, 0.98367, 0.63910, 0,
 10, 0.01563, 0.99614, 0.98500, 0.79699, 0,
 11, 0.01381, 0.99632, 0.20000, 1.00000, 0,
 12, 0.01258, 0.99706, 0.98400, 0.84211, 0,
 13, 0.01187, 0.99724, 0.23200, 0.15789, 0,
 14, 0.01228, 0.99687, 0.98267, 0.81955, 0,
 15, 0.00724, 0.99853, 0.98200, 0.82707, 0,
 16, 0.01188, 0.99687, 0.94833, 0.72932, 0,
 17, 0.01258, 0.99706, 0.97900, 0.83459, 0,
 18, 0.00681, 0.99798, 0.98367, 0.77444, 0,
 19, 0.01169, 0.99724, 0.97800, 0.75940, 0,
 20, 0.00748, 0.99816, 0.94500, 0.56391, 0,
 21, 0.00924, 0.99779, 0.98533, 0.82707, 0,
 22, 0.00593, 0.99853, 0.98033, 0.83459, 0,
 23, 0.00459, 0.99871, 0.98200, 0.75940, 0,
 24, 0.00452, 0.99890, 0.97600, 0.69173, 0,
 25, 0.00608, 0.99761, 0.97933, 0.81955, 0,
 26, 0.00419, 0.99890, 0.98067, 0.78947, 0,
 27, 0.00652, 0.99835, 0.98800, 0.83459, 1,
 28, 0.00352, 0.99908, 0.98467, 0.80451, 0,
 29, 0.00444, 0.99890, 0.98400, 0.81955, 0,
 30, 0.00297, 0.99945, 0.97667, 0.75940, 0,
 31, 0.00404, 0.99890, 0.98267, 0.76692, 0,
 32, 0.00590, 0.99853, 0.98567, 0.85714, 0,
 33, 0.00299, 0.99908, 0.98267, 0.80451, 0,
 34, 0.00527, 0.99871, 0.98400, 0.87218, 0,
 35, 0.00342, 0.99908, 0.98333, 0.78195, 0,
 36, 0.00350, 0.99908, 0.98467, 0.84962, 0,
 37, 0.00265, 0.99926, 0.98533, 0.84962, 0,
 38, 0.00286, 0.99963, 0.98167, 0.78195, 0,
 39, 0.00261, 0.99945, 0.20000, 0.00000, 0,
 40, 0.00236, 0.99908, 0.98333, 0.76692, 0,
 41, 0.00295, 0.99890, 0.98667, 0.81955, 0,
 42, 0.00303, 0.99890, 0.98233, 0.80451, 0,
 43, 0.00301, 0.99908, 0.98700, 0.84211, 0,
 44, 0.00286, 0.99945, 0.98133, 0.77444, 0,
 45, 0.00250, 0.99926, 0.98367, 0.81955, 0,
 46, 0.00331, 0.99908, 0.98500, 0.84962, 0,
 47, 0.00284, 0.99908, 0.98267, 0.78195, 0,
 48, 0.00297, 0.99908, 0.20000, 0.00000, 0,
 49, 0.00259, 0.99908, 0.59500, 0.49624, 0,
