epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.09233, 0.98273, 0.98867, 1, 1.00000, 1.00000, 0.99333, 0.97333, 0.97667,
  1, 0.17352, 0.95033, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.19026, 0.94178, 0.64033, 0, 1.00000, 1.00000, 0.88833, 0.21167, 0.10167,
  3, 0.08908, 0.97899, 0.37500, 0, 0.09667, 0.02500, 0.27000, 0.48667, 0.99667,
  4, 0.06091, 0.98558, 0.96700, 0, 1.00000, 1.00000, 0.99333, 0.95333, 0.88833,
  5, 0.08607, 0.97935, 0.98533, 0, 1.00000, 1.00000, 0.99500, 0.94833, 0.98333,
  6, 0.04535, 0.98932, 0.96133, 0, 1.00000, 0.99833, 0.99333, 0.94833, 0.86667,
  7, 0.03062, 0.99519, 0.96133, 0, 1.00000, 1.00000, 0.99167, 0.95000, 0.86500,
  8, 0.02562, 0.99502, 0.21367, 0, 0.01833, 0.00167, 0.01000, 0.04000, 0.99833,
  9, 0.01893, 0.99662, 0.94633, 0, 1.00000, 0.91333, 0.95667, 0.88167, 0.98000,
 10, 0.01494, 0.99822, 0.98300, 0, 1.00000, 1.00000, 1.00000, 0.97000, 0.94500,
 11, 0.01299, 0.99786, 0.96867, 0, 1.00000, 0.99833, 0.99667, 0.96667, 0.88167,
 12, 0.01167, 0.99840, 0.96600, 0, 1.00000, 0.99833, 0.99333, 0.95667, 0.88167,
 13, 0.00906, 0.99858, 0.97967, 0, 1.00000, 1.00000, 0.99667, 0.96667, 0.93500,
 14, 0.01163, 0.99786, 0.40767, 0, 0.82667, 0.02500, 0.06000, 0.13000, 0.99667,
 15, 0.02054, 0.99608, 0.97700, 0, 1.00000, 1.00000, 0.99500, 0.96333, 0.92667,
 16, 0.00976, 0.99840, 0.98633, 0, 1.00000, 0.99833, 0.99500, 0.96833, 0.97000,
 17, 0.00905, 0.99840, 0.97767, 0, 1.00000, 1.00000, 0.99833, 0.96833, 0.92167,
 18, 0.00837, 0.99858, 0.98267, 0, 1.00000, 1.00000, 0.99333, 0.96833, 0.95167,
 19, 0.00586, 0.99858, 0.98767, 0, 1.00000, 1.00000, 0.99833, 0.96000, 0.98000,
 20, 0.00829, 0.99840, 0.98400, 0, 1.00000, 0.99167, 0.99667, 0.97333, 0.95833,
 21, 0.00838, 0.99751, 0.98767, 0, 1.00000, 1.00000, 0.99833, 0.96833, 0.97167,
 22, 0.00500, 0.99858, 0.98333, 0, 1.00000, 1.00000, 0.99500, 0.97000, 0.95167,
 23, 0.00374, 0.99893, 0.97967, 0, 1.00000, 0.99833, 0.99333, 0.96500, 0.94167,
 24, 0.00358, 0.99875, 0.98367, 0, 1.00000, 1.00000, 0.99833, 0.96500, 0.95500,
 25, 0.00533, 0.99875, 0.98300, 0, 1.00000, 1.00000, 0.99833, 0.96833, 0.94833,
 26, 0.00291, 0.99929, 0.98267, 0, 1.00000, 1.00000, 0.99833, 0.96833, 0.94667,
 27, 0.00316, 0.99929, 0.98467, 0, 1.00000, 1.00000, 1.00000, 0.97000, 0.95333,
 28, 0.00288, 0.99947, 0.98400, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.95500,
 29, 0.00217, 0.99929, 0.97900, 0, 1.00000, 1.00000, 0.99500, 0.96667, 0.93333,
 30, 0.00228, 0.99947, 0.98700, 0, 1.00000, 0.99667, 1.00000, 0.96833, 0.97000,
 31, 0.00252, 0.99947, 0.98667, 0, 1.00000, 0.99833, 0.99833, 0.96833, 0.96833,
 32, 0.00215, 0.99947, 0.98367, 0, 1.00000, 1.00000, 1.00000, 0.96500, 0.95333,
 33, 0.00170, 0.99982, 0.97300, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.90000,
 34, 0.00139, 0.99964, 0.98333, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.95167,
 35, 0.00147, 0.99982, 0.98467, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.95833,
 36, 0.00158, 0.99982, 0.98400, 0, 1.00000, 1.00000, 0.99667, 0.96333, 0.96000,
 37, 0.00161, 0.99982, 0.98467, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.95833,
 38, 0.00159, 0.99982, 0.98533, 0, 1.00000, 0.99500, 1.00000, 0.97000, 0.96167,
 39, 0.00092, 1.00000, 0.98500, 0, 1.00000, 0.99500, 1.00000, 0.96833, 0.96167,
 40, 0.00100, 0.99982, 0.97467, 0, 1.00000, 0.99833, 0.99333, 0.95833, 0.92333,
 41, 0.00108, 0.99982, 0.98700, 0, 1.00000, 1.00000, 0.99833, 0.96500, 0.97167,
 42, 0.00119, 0.99982, 0.98033, 0, 1.00000, 1.00000, 0.99333, 0.96667, 0.94167,
 43, 0.00101, 0.99982, 0.98467, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.95833,
 44, 0.00079, 1.00000, 0.98333, 0, 1.00000, 0.99833, 0.99833, 0.96500, 0.95500,
 45, 0.00071, 1.00000, 0.85867, 0, 0.99667, 0.69500, 0.80000, 0.81500, 0.98667,
 46, 0.00067, 1.00000, 0.37467, 0, 0.80667, 0.00167, 0.01333, 0.05167, 1.00000,
 47, 0.00066, 1.00000, 0.98500, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.96000,
 48, 0.00063, 1.00000, 0.98567, 0, 1.00000, 0.99500, 0.99833, 0.96833, 0.96667,
 49, 0.00062, 1.00000, 0.98700, 0, 1.00000, 1.00000, 1.00000, 0.96500, 0.97000,
 50, 0.00060, 1.00000, 0.49767, 0, 0.97167, 0.04000, 0.11333, 0.36667, 0.99667,
 51, 0.00059, 1.00000, 0.98567, 0, 1.00000, 1.00000, 1.00000, 0.96667, 0.96167,
 52, 0.00058, 1.00000, 0.98433, 0, 1.00000, 1.00000, 0.99833, 0.96500, 0.95833,
 53, 0.00058, 1.00000, 0.98633, 0, 1.00000, 0.99833, 1.00000, 0.96333, 0.97000,
 54, 0.00056, 1.00000, 0.98633, 0, 1.00000, 1.00000, 0.99833, 0.96333, 0.97000,
 55, 0.00055, 1.00000, 0.98233, 0, 1.00000, 1.00000, 0.99500, 0.96667, 0.95000,
 56, 0.00059, 1.00000, 0.98567, 0, 1.00000, 0.99500, 1.00000, 0.96833, 0.96500,
 57, 0.00063, 1.00000, 0.98467, 0, 1.00000, 0.99333, 0.99833, 0.96833, 0.96333,
 58, 0.00055, 1.00000, 0.98500, 0, 1.00000, 1.00000, 0.99833, 0.96500, 0.96167,
 59, 0.00050, 1.00000, 0.98600, 0, 1.00000, 1.00000, 0.99833, 0.96667, 0.96500,
