epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.05276, 0.98441, 0.97867, 1, 1.00000, 1.00000, 1.00000, 0.96667, 0.92667,
  1, 0.14688, 0.95015, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.08729, 0.97499, 0.97367, 0, 1.00000, 0.99833, 0.99333, 0.95167, 0.92500,
  3, 0.06791, 0.98097, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  4, 0.04566, 0.98659, 0.97033, 0, 0.99833, 0.99833, 0.98500, 0.87667, 0.99333,
  5, 0.05420, 0.98369, 0.75667, 0, 0.99833, 0.54667, 0.63833, 0.60500, 0.99500,
  6, 0.03080, 0.99257, 0.21833, 0, 0.09167, 0.00000, 0.00000, 0.00000, 1.00000,
  7, 0.02349, 0.99474, 0.98467, 1, 0.99500, 0.99500, 0.98500, 0.98000, 0.96833,
  8, 0.01714, 0.99728, 0.96933, 0, 1.00000, 1.00000, 0.99500, 0.96833, 0.88333,
  9, 0.01678, 0.99674, 0.20100, 0, 0.00500, 0.00000, 0.00000, 0.00000, 1.00000,
 10, 0.02089, 0.99511, 0.98533, 1, 1.00000, 0.99667, 0.99167, 0.95500, 0.98333,
 11, 0.01351, 0.99710, 0.97867, 0, 1.00000, 1.00000, 0.99500, 0.96833, 0.93000,
 12, 0.01478, 0.99674, 0.97700, 0, 1.00000, 1.00000, 0.99167, 0.96667, 0.92667,
 13, 0.02512, 0.99420, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 14, 0.01672, 0.99710, 0.98867, 1, 1.00000, 1.00000, 0.99833, 0.96333, 0.98167,
 15, 0.01143, 0.99819, 0.98633, 0, 1.00000, 1.00000, 0.99333, 0.96667, 0.97167,
 16, 0.00956, 0.99801, 0.93333, 0, 1.00000, 1.00000, 0.99000, 0.94000, 0.73667,
 17, 0.00753, 0.99837, 0.97900, 0, 1.00000, 0.99833, 0.99333, 0.96500, 0.93833,
 18, 0.00768, 0.99837, 0.95567, 0, 1.00000, 1.00000, 0.99333, 0.96333, 0.82167,
 19, 0.00679, 0.99855, 0.89933, 0, 1.00000, 1.00000, 0.98333, 0.89333, 0.62000,
 20, 0.00726, 0.99837, 0.98167, 0, 1.00000, 1.00000, 0.99333, 0.97167, 0.94333,
 21, 0.00517, 0.99855, 0.98100, 0, 1.00000, 1.00000, 0.98833, 0.96667, 0.95000,
 22, 0.00500, 0.99855, 0.98433, 0, 1.00000, 1.00000, 0.99333, 0.96667, 0.96167,
 23, 0.00630, 0.99855, 0.96567, 0, 0.99667, 0.96500, 0.95000, 0.96167, 0.95500,
 24, 0.00584, 0.99855, 0.97400, 0, 1.00000, 1.00000, 0.99333, 0.96167, 0.91500,
 25, 0.00508, 0.99873, 0.98300, 0, 1.00000, 1.00000, 0.99333, 0.97000, 0.95167,
 26, 0.00411, 0.99855, 0.96467, 0, 1.00000, 1.00000, 0.99000, 0.96000, 0.87333,
